club,reason
Club Brujas KV U19,no_id
RB Leipzig,no_id
UD Logroñés,no_id
Sint-Truidense VV,no_id
US Catanzaro,no_id
Brøndby IF,no_id
Unión Magdalena,no_id
SE Palmeiras Sao Paulo U20,no_id
TSG 1899 Hoffenheim,no_id
Ajax Amsterdam U21,no_id
USL Dunkerque,no_id
BSC Young Boys,no_id
FC Dinamo de Kiev,no_id
Club NXT,no_id
Cerezo Osaka,no_id
Partizan de Belgrado,no_id
SC Verl,no_id
Frosinone Calcio,no_id
AS Saint-Étienne,no_id
Everton Viña del Mar,no_id
RKC Waalwijk,no_id
EA Guingamp,no_id
FC Emmen,no_id
FK Bodø/Glimt,no_id
Clermont Foot 63,no_id
Rosenborg BK,no_id
FC Sochaux,no_id
FC Alverca,no_id
CA Petróleos Luanda,no_id
FC Paços de Ferreira,no_id
VfB Stuttgart II,no_id
Jagiellonia Bialystok,no_id
De Graafschap Doetinchem,no_id
Willem II Tilburg,no_id
Atalanta BC U23,no_id
Girona FC B,no_id
KV Mechelen,no_id
Al-Ahli SFC,no_id
AF Barô Diallo,no_id
SS Juve Stabia,no_id
FC Energie Cottbus,no_id
SM Caen,no_id
Viking FK,no_id
Ourense CF,no_id
AS Roma U20,no_id
CA Huracán,no_id
Dyoc,no_id
Levante UD,no_id
SSV Jahn Regensburg,no_id
Motor Lublin,no_id
Atlético Sanluqueño CF,no_id
RCD Espanyol B,no_id
FC Annecy,no_id
ADO Den Haag,no_id
Atlético Madrileño ,no_id
Kamimura Gakuen HS,no_id
GD Estoril Praia U23,no_id
Goiás EC,no_id
Atlético Madrileño,no_id
VfB Stuttgart U19,no_id
SS Lazio U20,no_id
CA Vélez Sarsfield U16,no_id
SC Paderborn 07,no_id
AC Sparta Praga U19,no_id
AS Nancy-Lorraine,no_id
FC Den Bosch,no_id
AC Sparta Praga B,no_id
SC Bastia,no_id
US Boulogne,no_id
KAA Gent,no_id
Grasshopper Club Zurich,no_id
Xerez DFC,no_id
AFC Bournemouth U21,no_id
Empoli FC,no_id
Cape Town City FC,no_id
Pogon Grodzisk Mazowiecki,no_id
TPS,no_id
Legia Warszawa U19,no_id
FK Buducnost Podgorica,no_id
HNK Gorica,no_id
Wisla Plock,no_id
Dinamo Tbilisi,no_id
CA Osasuna Promesas,no_id
Le Mans FC,no_id
Al-Fayha FC,no_id
SSV Ulm 1846,no_id
Burgos CF,no_id
Brøndby U19,no_id
Paradou AC,no_id
Kairat Almaty U19,no_id
Köln U19,no_id
Monagas SC,no_id
Kashima Antlers,no_id
AS Monaco,no_id
Borac Banja Luka,no_id
Jong Essevee,no_id
Académie Mohammed VI de football,no_id
UC Sampdoria U20,no_id
Concordia Chiajna,no_id
KKS 1925 Kalisz,no_id
