#;Media;Total;Categoría;Nombre;Apodo;Año;Procedencia;Equipo;Liga;"Pierna
Dominante";Posición;Impacto Ofensivo;Impacto Defensivo;Ritmo;Ejecución Técnica;Comportamiento Táctico;Skill RBB;Altura;Complexión;Comentarios;Rendimiento;Proyección;Contexto;Ojeador;Media Javi G;Media Á. Oñate;Media J.L. Tijerín;Media J. Román;Peso Impacto Ofensivo;Peso Impacto Defensivo;Peso Ritmo;Peso Ejecución Técnica;Peso Comportamiento Táctico;Peso Skill;NOM PROPIO SIN TILDES;Peso Altura;Peso Complexión;Etapa;Año Ponderación;;CONTRATOS;
1;6,35;39;Juvenil;Aarón Ochoa Moloney;Aarón Ochoa;2007;España;Málaga CF;2ª División España;Diestro;Mediapunta;6;5;6;8;6;8;2;2;Jugador ofensivo de alto nivel técnico y perfil polivalente. Destaca por su precisión en controles, giros y envíos, mostrando calidad en la ejecución y fluidez en acciones asociativas. Es un futbolista dinámico, con buen entendimiento del juego y capacidad para adaptarse a diferentes roles en zonas ofensivas. No es un jugador explosivo ni dominante a nivel condicional, lo que genera dudas sobre su impacto y rendimiento sostenido a máximo nivel competitivo, especialmente en contextos de alta exigencia física. Por tipología y forma de interpretar el juego, su perfil guarda similitudes con el de Iván Corralejo, siendo un jugador de talento, criterio y calidad técnica, cuyo rendimiento depende en gran medida del contexto colectivo y del ritmo del partido.;B;B;Betis Deportivo;Javi Galán;6,46;6,23;;;0,12;0,08;0,12;0,24;0,10;0,23;Aaron Ochoa Moloney;0,05;0,05;Pre-élite;2007;;30/06/2029;
2;5,98;38;Senior;Adam Boayar Benaisa;Adam Boayar;2005;España;Elche CF;1ª División España;Diestro;Mediapunta;7;5;7;7;5;7;3;2;Jugador ofensivo de carácter resolutivo, con mayor tendencia a finalizar acciones que a facilitarlas. Presenta un perfil algo intermitente y con rasgos individualistas, aunque cuenta con habilidad, recursos técnicos y talento para generar ventaja en situaciones de uno contra uno. Destaca por su golpeo preciso, siendo capaz de ejecutar acciones determinantes en zonas de finalización. Es un jugador polivalente, con capacidad para actuar en cualquiera de las posiciones del frente ofensivo. No obstante, considero que rinde mejor partiendo desde el perfil izquierdo, donde puede explotar con mayor naturalidad sus virtudes técnicas y su orientación hacia portería. Existen dudas en relación con su implicación defensiva y su continuidad en el esfuerzo sin balón, aspecto que condiciona su encaje en contextos de alta exigencia colectiva y deberá ser valorado en función del modelo de juego.;A;B;Betis Deportivo;Javi Galán;6,19;5,76;;;0,12;0,08;0,12;0,24;0,10;0,24;Adam Boayar Benaisa;0,05;0,05;Rendimiento;2006;;30/06/2027;
3;6,29;39;Senior;Alejandro Calvo Mata;Alex Calvo;2004;España;FC Andorra;2ª División España;Zurdo;Extremo;7;6;8;6;6;6;2;3;Jugador zurdo, polivalente, explosivo y muy dinámico. Destaca por su rápida activación tras control o recepción, mostrando una alta velocidad de ejecución. Es preciso en el centro tanto desde parado como en carrera, aportando calidad y continuidad al juego ofensivo desde banda. Es hábil en el regate, intenso en sus acciones y con buena predisposición para sostener duelos, lo que le permite ser competitivo en escenarios de uno contra uno. Su perfil combina energía, ritmo y eficacia técnica, factores que le dan impacto inmediato en contextos exigentes. Por rendimiento y características, considero que puede aportar desde el primer momento en el filial. Además, presenta un recorrido interesante de cara al primer equipo, ya sea actuando como extremo a pierna natural o reconvertido en un rol de lateral largo y profundo, en una tipología similar a Ángel Ortiz, capaz de ofrecer amplitud, intensidad y recorrido por banda.;A;B;Betis Deportivo;Javi Galán;6,51;6,06;;;0,22;0,08;0,27;0,10;0,08;0,18;Alejandro Calvo Mata;0,04;0,03;Rendimiento;2006;;30/06/2028;
4;5,96;35;Juvenil;Christ Ivan Alex Wawa;Christ Wawa;2007;Costa de Marfil;BK Häcken;1ª División Suecia;Diestro;Extremo;6;5;8;5;5;6;3;2;Jugador atlético y fibroso, con un destacado nivel condicional. Es explosivo, rápido y presenta una alta frecuencia de zancada, lo que le permite ganar metros con facilidad en conducción y atacar espacios con potencia. A nivel técnico muestra limitaciones en la conducción, con tendencia a realizar excesivos toques en carrera, lo que afecta a su precisión. Presenta dificultades para ejecutar el gesto técnico final con eficacia, tanto en centros como en golpeos a portería, perdiendo claridad en situaciones favorables. Su capacidad de desborde se basa principalmente en su potencia física y velocidad más que en la habilidad técnica o el regate en corto. Puede actuar en ambos perfiles de banda, aportando verticalidad y profundidad, especialmente en contextos de juego abierto.;B;C;Betis Deportivo;Javi Galán;6,02;5,68;6,17;;0,22;0,08;0,27;0,10;0,09;0,18;Christ Ivan Alex Wawa;0,04;0,03;Pre-élite;2007;;30/06/2030;
5;5,20;35;Senior;Artem Gusol;Gusol;2006;Ucrania;Kolos Kovalivka;1ª División Ucrania;Diestro;Extremo;6;6;7;5;6;5;4;3;Jugador fuerte y potente, con una estructura muscular ya formada. No destaca por explosividad, aunque muestra predisposición para jugar de manera vertical y para ejecutar acciones con ambas piernas. A nivel técnico presenta limitaciones, lo que condiciona su influencia en el juego en contextos de mayor exigencia. En el juego aéreo se muestra impreciso y en acciones de balón dividido evidencia cierta inseguridad, evitando el contacto en situaciones de disputa. Por sus características y rendimiento observado, surgen dudas significativas sobre su capacidad para sostener un nivel competitivo elevado dentro del fútbol profesional, especialmente en entornos de alta intensidad y complejidad técnico-táctica.;C;C;Betis Deportivo;Javi Galán;5,82;5,21;4,56;;0,22;0,08;0,27;0,10;0,08;0,18;Artem Gusol;0,04;0,03;Rendimiento;2006;;30/06/2028;
6;6,19;38;Senior;Benjamin Pauwels;Pauwels;2004;Bélgica;FC Volendam;1ª División Países Bajos;Diestro;Extremo;6;5;8;6;5;8;3;2;Extremo explosivo, con gran capacidad de aceleración desde parado y notable cambio de ritmo. Destaca por su facilidad para generar ventaja en el uno contra uno, siendo hábil en el regate y con recursos para superar a su par en banda. Tiene la capacidad de ejecutar centros con ambas piernas, lo que le aporta imprevisibilidad en fase ofensiva. Se trata de un jugador poco asociativo, orientado principalmente a la búsqueda del desequilibrio individual y la generación de superioridades por banda más que a la continuidad del juego colectivo. Por su perfil y condiciones, puede tener un impacto de rendimiento inmediato en el filial. No obstante, de cara a su proyección futura, existen más dudas respecto a su evolución y adaptación a contextos de mayor exigencia competitiva.;A;B;Betis Deportivo;Javi Galán;6,50;5,88;;;0,22;0,08;0,27;0,10;0,08;0,18;Benjamin Pauwels;0,04;0,03;Rendimiento;2006;;30/06/2026;
7;5,40;34;Senior;Lorougnon Joel Neville Biagne Gohi;Lorougnon Gohi;2004;Costa de Marfil;Acádemico Viseu FC;2ª División Portugal;Ambidiestro;Extremo;6;4;7;6;4;7;3;2;Jugador atlético y explosivo, con alta velocidad y capacidad para generar ventaja en carrera. Su desborde se apoya principalmente en sus condiciones físicas más que en la habilidad técnica, aunque también muestra algunos recursos para resolver en espacios reducidos. A nivel técnico presenta imprecisiones en la ejecución, lo que, unido a un comportamiento de juego anárquico, condiciona la continuidad de sus acciones. Sin disponer de un contexto amplio de observación, se aprecia una toma de decisiones deficiente o una comprensión del juego aún limitada, especialmente en situaciones que requieren lectura y pausa. Por estas razones, surgen dudas tanto sobre su adaptación e impacto inmediato como sobre su proyección a medio y largo plazo en contextos de mayor exigencia competitiva.;C;C;Betis Deportivo;Javi Galán;5,89;5,81;4,49;;0,22;0,08;0,27;0,10;0,08;0,18;Lorougnon Joel Neville Biagne Gohi;0,04;0,03;Rendimiento;2006;;30/06/2029;
8;4,92;32;Senior;Caio Matheus da Silva;Caio Matheus;2004;Brasil;Real Murcia CF;1ª RFEF España;Diestro;Extremo;6;4;6;6;4;6;2;1;Jugador de banda ágil, con una estructura física aún por desarrollar a nivel muscular. Destaca por su precisión en el primer control, aunque su participación en el juego resulta intermitente y no presenta un perfil especialmente explosivo. Conduce y ejecuta acciones con ambas piernas, mostrando predisposición para encarar. No rehúye el contacto en duelos ofensivos, si bien tiende a ir al suelo con facilidad, lo que limita la continuidad de las acciones. Presenta dificultades para desbordar desde parado, condicionando su impacto ante defensas organizadas. Por su rendimiento y características actuales, existen dudas significativas tanto a nivel condicional como técnico-táctico para sostener una máxima exigencia competitiva.;C;C;Betis Deportivo;Javi Galán;5,37;5,51;3,87;;0,22;0,08;0,27;0,10;0,08;0,18;Caio Matheus da Silva;0,04;0,03;Rendimiento;2006;;30/06/2027;
9;6,11;37;Senior;Charles Kwablan Herrmann;Charles Herrmann;2006;Alemania;Cercle Brugge KSV;1ª División Bélgica;Zurdo;Extremo;6;5;8;6;6;6;3;2;Jugador de banda con capacidad para actuar en ambos perfiles, aunque muestra tendencia a jugar a pierna cambiada. Se activa principalmente con balón, presentando un rendimiento algo intermitente y un perfil más resolutivo que asociativo en fase ofensiva. A nivel técnico ofrece un desempeño correcto, sin alardes ni rasgos especialmente diferenciales. En el aspecto condicional, muestra cierta apatía para repetir esfuerzos de alta intensidad, si bien no se desentiende del trabajo defensivo ni del compromiso colectivo sin balón.;C;C;Betis Deportivo;Javi Galán;6,22;5,62;6,49;;0,22;0,08;0,27;0,10;0,08;0,18;Charles Kwablan Herrmann;0,04;0,03;Rendimiento;2006;;30/06/2029;
10;6,04;36;Juvenil;Daniel Fernández Melián;Dani Fernández;2008;España;CD Tenerife;1ª RFEF España;Zurdo;Mediapunta;6;4;6;7;6;7;3;1;Jugador de perfil ofensivo y asociativo, con una estructura física aún por desarrollar a nivel muscular. Destaca por su talento y fiabilidad en la ejecución técnica: preciso en controles, envíos y giros, además de mostrar habilidad en el regate y buena capacidad para resolver en situaciones de presión. Es un jugador polivalente, con capacidad para actuar en banda, aunque con tendencia natural a ocupar zonas interiores, donde se siente más cómodo participando en la creación y continuidad del juego. Presenta una actitud implicada sin balón, si bien le cuesta sostener el ritmo en contextos de transición prolongada, aspecto condicionado en parte por su actual desarrollo físico. A pesar de encontrarse todavía en fase de formación, muestra condiciones para competir en entornos ya exigentes, lo que permite intuir un nivel de desempeño elevado en el fútbol profesional a medio plazo.;B;B;Betis Deportivo;Javi Galán;5,91;6,18;;;0,12;0,09;0,13;0,24;0,11;0,23;Daniel Fernandez Melian;0,05;0,05;Pre-élite;2008;;30/06/2029;
