jugador,equipo,posicion_original,posicion_primaria,posicion_normalizada,edad,valor_mercado,vencimiento_contrato,partidos_jugados,minutos_jugados,goles,xg,goles_por_90,xg_por_90,pais_nacimiento,pasaporte,pie,altura,peso,en_prestamo,es_sub23
Pablo Garcia,Real Betis,"RW, CF",RW,Extremo,19,0,2029-06-30,9,839,7,5.97,0.75,0.64,Spain,Spain,izquierdo,0,0,no,True
I. Amores,Real Betis B,RW,RW,Extremo,20,0,,3,166,0,0.13,0.0,0.07,Spain,Spain,unknown,0,0,no,True
M. Hamdoune,Real Betis B,"LCB, CB",LCB,Central,21,0,2029-06-30,14,1079,0,0.02,0.0,0.0,Morocco,Morocco,izquierdo,0,0,no,True
Adrian Martin,Real Betis B,"RCMF, DMF",RCMF,Centrocampista,19,0,,2,52,0,0.14,0.0,0.24,Spain,Spain,derecho,0,0,no,True
V. Răfăilă,Real Betis B,GK,GK,Portero,21,0,2026-06-30,1,106,0,0.0,0.0,0.0,Romania,Romania,izquierdo,197,86,si,True
Antonio Toral,Real Betis B,"LW, LAMF, LWF",LW,Extremo,22,0,,13,468,0,0.28,0.0,0.05,Spain,Spain,derecho,170,0,no,True
D. Traoré,Real Betis B,"AMF, RCMF",AMF,Mediapunta,19,0,2026-06-30,5,108,0,0.01,0.0,0.01,France,"France, Senegal",derecho,188,77,si,True
Y. Koré,Real Betis B,"RCB, RB",RCB,Central,21,1000000,2027-06-30,11,779,1,0.8,0.12,0.09,France,"France, Côte d'Ivoire",derecho,187,75,si,True
Marcos Solís,Real Betis B,RB,RB,Lateral,20,0,,3,129,0,0.0,0.0,0.0,Spain,Spain,derecho,0,0,no,True
M. Mensah,Real Betis B,"RDMF, RCMF, LDMF",RDMF,Mediocentro,22,0,2026-06-30,16,1209,0,0.42,0.0,0.03,Ghana,Ghana,derecho,168,70,no,True
Ismael Barea,Real Betis B,"RDMF, RCMF",RDMF,Mediocentro,20,0,2028-06-30,5,395,0,0.09,0.0,0.02,Spain,Spain,derecho,0,0,no,True
Carlos Reina,Real Betis B,"CF, LCMF, AMF",CF,Delantero,21,0,2026-06-30,25,1653,6,5.51,0.33,0.3,Spain,Spain,derecho,176,68,no,True
M. Kamara Rodriguez,Real Betis B,"RW, LCB, RAMF",RW,Extremo,22,0,,4,71,1,0.25,1.27,0.32,Netherlands,Netherlands,,0,0,no,True
Yanis Senhadji,Real Betis B,"CF, RW",CF,Delantero,21,0,2028-06-30,12,194,0,0.55,0.0,0.26,Spain,"Spain, Algeria",derecho,184,75,no,True
Ginés Sorroche,Real Betis B,"RCMF, AMF",RCMF,Centrocampista,22,0,2026-06-30,28,1124,1,0.74,0.08,0.06,Spain,Spain,derecho,180,71,no,True
