jugador,edad,valor_mercado,partidos,minutos,goles,xg,goles_por_90,xg_por_90,posicion_normalizada,tipo_operacion,origen_desarrollo,club,entrenador,ranking_destino_base,score_evidencia_base,nivel_evidencia,razones_base,minutos_sub23_destino,jugadores_sub23_destino,goles_sub23_destino,xg_sub23_destino,vencimiento_contrato,equipo_actual,club_pos_jugadores_sub23,club_pos_minutos_sub23,club_pos_goles_sub23,club_pos_xg_sub23,club_pos_pct_minutos,club_total_jugadores_sub23,club_total_minutos_sub23,club_total_goles_sub23,coach_total_jugadores_sub23,coach_total_minutos_sub23,minutos_sub23_delanteros,minutos_sub23_extremos,minutos_sub23_mediocentros,minutos_sub23_centrales,minutos_sub23_laterales,minutos_sub23_porteros,coach_pos_minutos_sub23,demand_total_altas,demand_cesiones,demand_traspasos,demand_sub23,demand_recent,demand_score,rf_revalorizacion_esperada,rf_prob_revalorizacion_positiva,prob_tipo_cesion,prob_tipo_libre,prob_tipo_otro,prob_tipo_traspaso,tipo_operacion_mas_parecida,rf_revalorizacion_score,score_destino_rf,ranking_destino_rf,razonamiento_rf
Adrian Martin,19.0,0.0,2.0,52.0,0.0,0.14,0.0,0.24,Centrocampista,cesion,Betis Deportivo,CD Mirandés,Míchel Alonso,2,62.45,Alta,13632 min Sub23 en Mediocentro; 9 jugadores Sub23 usados; entrenador principal: Míchel Alonso; 9 goles Sub23; xG Sub23 13.58,13632.0,9,9.0,13.58,,Real Betis B,0.0,0.0,0.0,0.0,0.0,23,32942.0,28.0,8.0,7335.0,1106.0,14.0,4573.0,1642.0,0.0,0.0,4573.0,31.0,17.0,0.0,27.0,17.0,99.77,733177.5634192369,0.6742650233347433,0.6316501665875924,0.16771049566800025,0.14318821921484462,0.05745111852956282,cesion,78.14181976765762,74.83,1,encaje historico 62.5/100; demanda club-posicion 99.8/100; revalorizacion esperada €733k; prob. revalorizacion positiva 67%; se parece a historicos de cesion; entrenador: Míchel Alonso
Adrian Martin,19.0,0.0,2.0,52.0,0.0,0.14,0.0,0.24,Centrocampista,cesion,Betis Deportivo,Racing Santander,Íñigo Vélez,1,64.73,Alta,13932 min Sub23 en Mediocentro; 9 jugadores Sub23 usados; entrenador principal: Íñigo Vélez; 14 goles Sub23; xG Sub23 12.65,13932.0,9,14.0,12.65,,Real Betis B,0.0,0.0,0.0,0.0,0.0,19,32268.0,37.0,2.0,2445.0,0.0,0.0,2207.0,0.0,238.0,0.0,2207.0,13.0,5.0,2.0,11.0,9.0,92.06,250367.11933633112,0.5944053273829145,0.26442186483370156,0.16671127630248705,0.3922373660616201,0.17662949280219112,otro,31.436517216309355,60.81,2,encaje historico 64.7/100; demanda club-posicion 92.1/100; revalorizacion esperada €250k; prob. revalorizacion positiva 59%; se parece a historicos de otro; entrenador: Íñigo Vélez
Adrian Martin,19.0,0.0,2.0,52.0,0.0,0.14,0.0,0.24,Centrocampista,cesion,Betis Deportivo,Sporting Gijón,Rubén Albés,3,62.29,Alta,10680 min Sub23 en Mediocentro; 9 jugadores Sub23 usados; entrenador principal: Rubén Albés; 8 goles Sub23; xG Sub23 8.27,10680.0,9,8.0,8.27,,Real Betis B,0.0,0.0,0.0,0.0,0.0,17,29556.0,30.0,13.0,20519.0,0.0,1307.0,10561.0,2707.0,5944.0,0.0,10561.0,16.0,4.0,1.0,8.0,10.0,92.62,-48035.770351018866,0.371229924073843,0.23251598688784436,0.1568573978442225,0.4296366584134239,0.18098995685450903,otro,2.5701216860355958,48.39,3,encaje historico 62.3/100; demanda club-posicion 92.6/100; revalorizacion esperada -€48k; prob. revalorizacion positiva 37%; se parece a historicos de otro; entrenador: Rubén Albés
Adrian Martin,19.0,0.0,2.0,52.0,0.0,0.14,0.0,0.24,Centrocampista,cesion,Betis Deportivo,Córdoba CF,Iván Ania,7,41.7,Alta,5807 min Sub23 en Mediocentro; 5 jugadores Sub23 usados; entrenador principal: Iván Ania; 8 goles Sub23; xG Sub23 8.92,5807.0,5,8.0,8.92,,Real Betis B,0.0,0.0,0.0,0.0,0.0,11,15724.0,13.0,3.0,4896.0,0.0,0.0,2012.0,2782.0,102.0,0.0,2012.0,9.0,4.0,1.0,5.0,8.0,79.86,97843.56070189406,0.595205689375967,0.25667514226439203,0.1698141451865904,0.4571083663980152,0.1164023461510025,otro,16.681950409534874,46.64,4,encaje historico 41.7/100; demanda club-posicion 79.9/100; revalorizacion esperada €98k; prob. revalorizacion positiva 60%; se parece a historicos de otro; entrenador: Iván Ania
Adrian Martin,19.0,0.0,2.0,52.0,0.0,0.14,0.0,0.24,Centrocampista,cesion,Betis Deportivo,FC Andorra,Ferran Costa,8,39.83,Alta,7481 min Sub23 en Mediocentro; 7 jugadores Sub23 usados; entrenador principal: Ferran Costa; 8 goles Sub23; xG Sub23 8.26,7481.0,7,8.0,8.26,,Real Betis B,0.0,0.0,0.0,0.0,0.0,14,25927.0,34.0,3.0,2705.0,0.0,1395.0,1310.0,0.0,0.0,0.0,1310.0,11.0,1.0,1.0,10.0,5.0,73.25,167881.13187408564,0.5256640240806395,0.21895113376494232,0.1960624381143022,0.4419058547022029,0.14308057341855251,otro,23.45712686159417,44.97,5,encaje historico 39.8/100; demanda club-posicion 73.2/100; revalorizacion esperada €168k; prob. revalorizacion positiva 53%; se parece a historicos de otro; entrenador: Ferran Costa
Adrian Martin,19.0,0.0,2.0,52.0,0.0,0.14,0.0,0.24,Centrocampista,cesion,Betis Deportivo,UD Almería,Rubén Albés,5,48.02,Alta,8681 min Sub23 en Mediocentro; 4 jugadores Sub23 usados; entrenador principal: Rubén Albés; 17 goles Sub23; xG Sub23 15.28,8681.0,4,17.0,15.28,,Real Betis B,0.0,0.0,0.0,0.0,0.0,6,13647.0,22.0,13.0,20519.0,0.0,1307.0,10561.0,2707.0,5944.0,0.0,10561.0,12.0,1.0,4.0,9.0,7.0,77.0,-96218.50648812868,0.5736256718916173,0.0979558653279608,0.13313056018033634,0.3826740675778338,0.386239506913869,traspaso,0.0,43.68,6,encaje historico 48.0/100; demanda club-posicion 77.0/100; revalorizacion esperada -€96k; prob. revalorizacion positiva 57%; se parece a historicos de traspaso; entrenador: Rubén Albés
Adrian Martin,19.0,0.0,2.0,52.0,0.0,0.14,0.0,0.24,Centrocampista,cesion,Betis Deportivo,SD Huesca,Antonio Hidalgo,12,24.13,Media,3283 min Sub23 en Mediocentro; 5 jugadores Sub23 usados; entrenador principal: Antonio Hidalgo; 6 goles Sub23; xG Sub23 4.13,3283.0,5,6.0,4.13,,Real Betis B,0.0,0.0,0.0,0.0,0.0,12,11168.0,16.0,4.0,661.0,54.0,296.0,135.0,176.0,0.0,0.0,135.0,18.0,5.0,2.0,7.0,6.0,87.14,39523.01011724032,0.7098212448950607,0.23099226546463023,0.19868154558558634,0.440806854874045,0.1295193340757381,otro,11.040235336052055,42.83,7,encaje historico 24.1/100; demanda club-posicion 87.1/100; revalorizacion esperada €40k; prob. revalorizacion positiva 71%; se parece a historicos de otro; entrenador: Antonio Hidalgo
Adrian Martin,19.0,0.0,2.0,52.0,0.0,0.14,0.0,0.24,Centrocampista,cesion,Betis Deportivo,SD Eibar,Gaizka Garitano,4,49.13,Alta,9206 min Sub23 en Mediocentro; 6 jugadores Sub23 usados; entrenador principal: Gaizka Garitano; 9 goles Sub23; xG Sub23 10.50,9206.0,6,9.0,10.5,,Real Betis B,0.0,0.0,0.0,0.0,0.0,8,13865.0,9.0,8.0,13865.0,0.0,0.0,9206.0,0.0,4659.0,0.0,9206.0,11.0,2.0,2.0,5.0,4.0,72.47,-264118.3919432322,0.5566115850133243,0.15769454661479484,0.1711176319505295,0.4415176956399651,0.22967012579471008,otro,0.0,42.82,8,encaje historico 49.1/100; demanda club-posicion 72.5/100; revalorizacion esperada -€264k; prob. revalorizacion positiva 56%; se parece a historicos de otro; entrenador: Gaizka Garitano
Adrian Martin,19.0,0.0,2.0,52.0,0.0,0.14,0.0,0.24,Centrocampista,cesion,Betis Deportivo,Burgos CF,Julián Calero,10,30.82,Alta,6776 min Sub23 en Mediocentro; 4 jugadores Sub23 usados; entrenador principal: Julián Calero; 3 goles Sub23; xG Sub23 2.68,6776.0,4,3.0,2.68,,Real Betis B,0.0,0.0,0.0,0.0,0.0,10,18932.0,28.0,9.0,19860.0,4592.0,5701.0,3552.0,0.0,0.0,6015.0,3552.0,12.0,2.0,0.0,7.0,6.0,80.57,106502.07464653577,0.560522963477268,0.22841782597602855,0.2363691331654692,0.4718521707459738,0.0633608701125286,otro,17.51954313020957,42.49,9,encaje historico 30.8/100; demanda club-posicion 80.6/100; revalorizacion esperada €107k; prob. revalorizacion positiva 56%; se parece a historicos de otro; entrenador: Julián Calero
Adrian Martin,19.0,0.0,2.0,52.0,0.0,0.14,0.0,0.24,Centrocampista,cesion,Betis Deportivo,Málaga CF,José Alberto,9,31.79,Alta,7438 min Sub23 en Mediocentro; 3 jugadores Sub23 usados; entrenador principal: José Alberto; 6 goles Sub23; xG Sub23 4.39,7438.0,3,6.0,4.39,,Real Betis B,0.0,0.0,0.0,0.0,0.0,11,22860.0,61.0,6.0,5171.0,0.0,1690.0,3481.0,0.0,0.0,0.0,3481.0,14.0,3.0,0.0,7.0,6.0,84.83,-25343.67899450424,0.5759354839141755,0.27738903473118026,0.2086077717040452,0.4535550190460254,0.06044817451874898,otro,4.765270952829128,40.8,10,encaje historico 31.8/100; demanda club-posicion 84.8/100; revalorizacion esperada -€25k; prob. revalorizacion positiva 58%; se parece a historicos de otro; entrenador: José Alberto
