jugador,posicion,edad,minutos_actuales,goles_actuales,xg_actual,operacion_sugerida,confianza_modelo,revalorizacion_esperada_media_top5,prob_revalorizacion_positiva_media_top5,prob_cesion_historica,prob_traspaso_historico,score_destino_medio_top5,clubes_ideales,entrenadores_ideales,sucesos_similares,razonamiento
Pablo Garcia,Extremo,19,839.0,7.0,5.97,Ceder,Alta,984927.77,0.5513,0.3536,0.2097,68.37,CD Mirandés (74.1) | Sporting Gijón (70.7) | UD Las Palmas (66.7) | Real Valladolid CF (65.4) | FC Andorra (64.8),Míchel Alonso | David Gallego | Diego Cocca | Ferran Costa,Antonio Cordero Cádiz CF sub23_wyscout | Aarón Ochoa Málaga CF sub23_wyscout | David Mella Deportivo de La Coruña sub23_wyscout | Antoñito Cordero Cádiz CF cesion | Lander Astiazaran Real Sociedad B sub23_wyscout,"Ceder: top destinos con score medio 68.4; revalorizacion esperada media €985k; probabilidad de revalorizacion positiva 55%; similitud historica cesion 35%, traspaso 21%."
I. Amores,Extremo,20,166.0,0.0,0.13,Ceder,Alta,706202.0,0.5865,0.34,0.157,64.14,CD Mirandés (71.1) | UD Las Palmas (67.1) | Sporting Gijón (64.1) | Real Valladolid CF (60.6) | Cádiz CF (57.8),Míchel Alonso | David Gallego | Diego Cocca | Pako Ayestarán,D. Sia CD Mirandés sub23_wyscout | Álex Lozano Sporting Gijón sub23_wyscout | W. Chatiliez FC Cartagena sub23_wyscout | Víctor Moreno Cultural Leonesa sub23_wyscout | N. Carrillo Deportivo Alavés sub23_wyscout,"Ceder: top destinos con score medio 64.1; revalorizacion esperada media €706k; probabilidad de revalorizacion positiva 59%; similitud historica cesion 34%, traspaso 16%."
M. Hamdoune,Central,21,1079.0,0.0,0.02,Ceder,Media,226433.68,0.5628,0.2713,0.1473,55.77,CD Mirandés (67.4) | CD Leganés (57.8) | Racing Santander (54.9) | Real Valladolid CF (51.8) | Cultural Leonesa (47.0),Míchel Alonso | Borja Jiménez | Diego Cocca,Matia Barzic Cultural Leonesa sub23_wyscout | Jorge Cabello CD Mirandés sub23_wyscout | B. Kovačević Cádiz CF sub23_wyscout | B. Kovačević Cádiz CF sub23_wyscout | Oscar Naasei Granada CF sub23_wyscout,"Ceder: top destinos con score medio 55.8; revalorizacion esperada media €226k; probabilidad de revalorizacion positiva 56%; similitud historica cesion 27%, traspaso 15%."
Adrian Martin,Centrocampista,19,52.0,0.0,0.14,Ceder,Media,240246.72,0.5522,0.3208,0.1349,55.73,CD Mirandés (75.0) | Racing Santander (61.6) | Sporting Gijón (49.3) | Córdoba CF (47.4) | FC Andorra (45.4),Míchel Alonso | Íñigo Vélez | Rubén Albés | Iván Ania | Ferran Costa,M. Jiménez Gambín Granada CF sub23_wyscout | F. Garcia Moreno Albacete Balompié sub23_wyscout | D. Carballo Real Valladolid CF sub23_wyscout | N. Riestra Sporting Gijón sub23_wyscout | J. Antras Santos Córdoba CF sub23_wyscout,"Ceder: top destinos con score medio 55.7; revalorizacion esperada media €240k; probabilidad de revalorizacion positiva 55%; similitud historica cesion 32%, traspaso 13%."
V. Răfăilă,Portero,21,106.0,0.0,0.0,Renovar y ceder,Baja,15578.59,0.4362,0.2215,0.1149,39.06,FC Andorra (48.0) | Real Valladolid CF (42.2) | Córdoba CF (38.5) | Cádiz CF (34.9) | Granada CF (31.7),Paulo Pezzolano | Pako Ayestarán,Rubén Gómez Villarreal CF B sub23_wyscout | Carlos López Málaga CF sub23_wyscout | L. Gómez Racing Santander sub23_wyscout | Antal Yaakobishvili FC Andorra cesion | S. Eriksson Racing Santander sub23_wyscout,"Renovar y ceder: top destinos con score medio 39.1; revalorizacion esperada media €16k; probabilidad de revalorizacion positiva 44%; similitud historica cesion 22%, traspaso 11%."
Antonio Toral,Extremo,22,468.0,0.0,0.28,Renovar y ceder,Alta,642526.06,0.5761,0.3417,0.1841,62.54,CD Mirandés (69.8) | UD Las Palmas (66.9) | Sporting Gijón (61.8) | Real Valladolid CF (57.5) | Cádiz CF (56.6),Míchel Alonso | David Gallego | Diego Cocca | Pako Ayestarán,Mario Cantero Burgos CF libre | L. Quintero Villarreal CF B sub23_wyscout | Jesús Belza CD Tenerife sub23_wyscout | Álex Calvo FC Andorra sub23_wyscout | Dani Requena Córdoba CF sub23_wyscout,"Renovar y ceder: top destinos con score medio 62.5; revalorizacion esperada media €643k; probabilidad de revalorizacion positiva 58%; similitud historica cesion 34%, traspaso 18%."
D. Traoré,Mediapunta,19,108.0,0.0,0.01,Ceder,Media,116815.67,0.5112,0.2532,0.1282,47.98,CD Mirandés (54.7) | Racing Santander (54.4) | SD Eibar (50.1) | Sporting Gijón (41.8) | Córdoba CF (39.0),Míchel Alonso | Íñigo Vélez | Gaizka Garitano | Rubén Albés | Iván Ania,Miguel Conde Sporting Gijón sub23_wyscout | L. Terrer Casas Real Zaragoza sub23_wyscout | Alejandro Morante Cultural Leonesa sub23_wyscout | Hugo Pinilla Real Zaragoza sub23_wyscout | Paco Cortés Levante UD sub23_wyscout,"Ceder: top destinos con score medio 48.0; revalorizacion esperada media €117k; probabilidad de revalorizacion positiva 51%; similitud historica cesion 25%, traspaso 13%."
Y. Koré,Central,21,779.0,1.0,0.8,Ceder,Media,100283.59,0.4747,0.3691,0.2074,51.28,CD Mirandés (62.1) | CD Leganés (53.8) | Racing Santander (50.6) | Real Valladolid CF (47.5) | Cultural Leonesa (42.4),Míchel Alonso | Borja Jiménez | Diego Cocca,Pelayo Fernández Cádiz CF cesion | Jorge Cabello CD Mirandés cesion | Matia Barzic Cultural Leonesa cesion | Adrián Pica CD Mirandés cesion | Diego Sánchez Sporting Gijón sub23_wyscout,"Ceder: top destinos con score medio 51.3; revalorizacion esperada media €100k; probabilidad de revalorizacion positiva 47%; similitud historica cesion 37%, traspaso 21%."
Marcos Solís,Lateral,20,129.0,0.0,0.0,Ceder,Media,237091.67,0.6339,0.2733,0.0955,56.31,Albacete Balompié (63.9) | CD Mirandés (61.5) | Real Zaragoza (54.6) | Racing Santander (51.4) | Granada CF (50.1),Rubén Albés | Víctor Fernández | Íñigo Vélez | Aitor Karanka,Álex López Córdoba CF sub23_wyscout | Juan Carlos Sabater Real Zaragoza sub23_wyscout | Pere Haro CD Lugo sub23_wyscout | Marc Aznar SD Huesca sub23_wyscout | H. San Modesto Real Valladolid CF sub23_wyscout,"Ceder: top destinos con score medio 56.3; revalorizacion esperada media €237k; probabilidad de revalorizacion positiva 63%; similitud historica cesion 27%, traspaso 10%."
M. Mensah,Mediocentro,22,1209.0,0.0,0.42,Ceder,Baja,119382.48,0.3799,0.2566,0.1619,37.16,CD Mirandés (45.5) | Racing Santander (39.2) | Sporting Gijón (35.7) | SD Eibar (33.0) | UD Almería (32.4),Míchel Alonso | Íñigo Vélez | Rubén Albés | Gaizka Garitano,Mario García Racing Santander sub23_wyscout | Jorge Cabello CD Mirandés sub23_wyscout | César Álvarez CD Tenerife sub23_wyscout | M. Mensah Real Zaragoza sub23_wyscout | Antal Yaakobishvili FC Andorra cesion,"Ceder: top destinos con score medio 37.2; revalorizacion esperada media €119k; probabilidad de revalorizacion positiva 38%; similitud historica cesion 26%, traspaso 16%."
