jugador_betis,ranking_similar,jugador_historico,temporada,club,entrenador,posicion,edad,tipo_suceso,minutos,goles,xg,valor_mercado,revalorizacion,similaridad_score
Pablo Garcia,1,Antonio Cordero,2024-25,Cádiz CF,Pako Ayestarán,Extremo,19.0,sub23_wyscout,2303.0,6.0,7.07,0.0,,87.79
Pablo Garcia,2,Aarón Ochoa,2025-26,Málaga CF,,Extremo,19.0,sub23_wyscout,847.0,2.0,1.32,0.0,,84.83
Pablo Garcia,3,David Mella,2024-25,Deportivo de La Coruña,Óscar Gilsanz,Extremo,20.0,sub23_wyscout,2886.0,6.0,7.03,0.0,,82.32
Pablo Garcia,4,Antoñito Cordero,2025-26,Cádiz CF,Pako Ayestarán,Extremo,19.0,cesion,1407.0,3.0,2.12,2000000.0,,79.21
Pablo Garcia,5,Lander Astiazaran,2025-26,Real Sociedad B,,Extremo,19.0,sub23_wyscout,2809.0,6.0,4.86,150000.0,,76.79
Pablo Garcia,6,Javi Hernández,2025-26,CD Mirandés,,Extremo,21.0,cesion,2023.0,7.0,5.71,500000.0,,76.64
Pablo Garcia,7,N. Carrillo,2025-26,Deportivo Alavés,,Extremo,19.0,sub23_wyscout,203.0,1.0,0.11,0.0,,75.54
Pablo Garcia,8,Víctor Moreno,2025-26,Cultural Leonesa,,Extremo,20.0,cesion,820.0,2.0,1.39,250000.0,,75.44
Pablo Garcia,9,José De La Rosa,2024-25,Cádiz CF,Pako Ayestarán,Extremo,21.0,sub23_wyscout,935.0,1.0,2.41,0.0,,75.24
Pablo Garcia,10,Dani Fernández,2024-25,CD Tenerife,Óscar Cano,Extremo,18.0,sub23_wyscout,361.0,1.0,0.35,0.0,,74.23
I. Amores,1,D. Sia,2025-26,CD Mirandés,,Extremo,20.0,sub23_wyscout,225.0,0.0,0.57,0.0,,93.12
I. Amores,2,Álex Lozano,2023-24,Sporting Gijón,David Gallego,Extremo,20.0,sub23_wyscout,109.0,0.0,0.08,0.0,,92.87
I. Amores,3,W. Chatiliez,2024-25,FC Cartagena,,Extremo,20.0,sub23_wyscout,129.0,1.0,0.21,0.0,,92.43
I. Amores,4,Víctor Moreno,2023-24,Cultural Leonesa,,Extremo,20.0,sub23_wyscout,214.0,1.0,0.34,0.0,,92.31
I. Amores,5,N. Carrillo,2025-26,Deportivo Alavés,,Extremo,19.0,sub23_wyscout,203.0,1.0,0.11,0.0,,88.36
I. Amores,6,D. Díaz,2024-25,Racing Santander,,Extremo,20.0,sub23_wyscout,42.0,0.0,0.2,0.0,,88.16
I. Amores,7,Jesús Belza,2023-24,CD Tenerife,Luis Miguel Ramis,Extremo,21.0,sub23_wyscout,356.0,0.0,0.03,0.0,,86.74
I. Amores,8,Álex Calvo,2022-23,FC Andorra,Eder Sarabia,Extremo,21.0,sub23_wyscout,307.0,1.0,0.43,0.0,,86.06
I. Amores,9,Borja Vázquez,2024-25,SD Ponferradina,,Extremo,20.0,sub23_wyscout,22.0,0.0,0.02,0.0,,85.0
I. Amores,10,L. Quintero,2023-24,Villarreal CF B,,Extremo,21.0,sub23_wyscout,471.0,0.0,0.92,0.0,,84.77
M. Hamdoune,1,Matia Barzic,2024-25,Cultural Leonesa,,Central,21.0,sub23_wyscout,1839.0,0.0,0.37,0.0,,92.04
M. Hamdoune,2,Jorge Cabello,2023-24,CD Mirandés,Sergio Pellicer,Central,21.0,sub23_wyscout,542.0,0.0,0.01,0.0,,91.55
M. Hamdoune,3,B. Kovačević,2025-26,Cádiz CF,Pako Ayestarán,Central,21.0,sub23_wyscout,2004.0,0.0,0.57,0.0,,91.45
M. Hamdoune,4,B. Kovačević,2024-25,Cádiz CF,Pako Ayestarán,Central,21.0,sub23_wyscout,2521.0,0.0,0.93,0.0,,90.0
M. Hamdoune,5,Oscar Naasei,2024-25,Granada CF,Fran Escribá,Central,21.0,sub23_wyscout,359.0,0.0,0.0,0.0,,89.49
M. Hamdoune,6,Marc Bombardó,2025-26,FC Andorra,,Central,20.0,sub23_wyscout,1437.0,0.0,0.64,0.0,,88.68
M. Hamdoune,7,Jorge Cabello,2024-25,CD Mirandés,Míchel Alonso,Central,22.0,sub23_wyscout,1642.0,0.0,0.03,0.0,,88.52
M. Hamdoune,8,L. Noubi,2025-26,Deportivo de La Coruña,Óscar Gilsanz,Central,21.0,sub23_wyscout,2274.0,1.0,2.17,0.0,,88.23
M. Hamdoune,9,Juanma Herzog,2025-26,UD Las Palmas,,Central,22.0,sub23_wyscout,665.0,0.0,0.15,0.0,,88.1
M. Hamdoune,10,Jorge Cabello,2025-26,CD Mirandés,,Central,21.0,cesion,2078.0,0.0,0.45,900000.0,,86.37
Adrian Martin,1,M. Jiménez Gambín,2025-26,Granada CF,,Centrocampista,19.0,sub23_wyscout,68.0,0.0,0.0,0.0,,93.56
Adrian Martin,2,F. Garcia Moreno,2025-26,Albacete Balompié,,Centrocampista,18.0,sub23_wyscout,48.0,0.0,0.01,0.0,,90.12
Adrian Martin,3,D. Carballo,2024-25,Real Valladolid CF,Diego Cocca,Centrocampista,20.0,sub23_wyscout,36.0,0.0,0.0,0.0,,88.71
Adrian Martin,4,N. Riestra,2025-26,Sporting Gijón,,Centrocampista,18.0,sub23_wyscout,28.0,0.0,0.0,0.0,,87.49
Adrian Martin,5,J. Antras Santos,2025-26,Córdoba CF,,Centrocampista,19.0,sub23_wyscout,9.0,0.0,0.0,0.0,,86.54
Adrian Martin,6,L. Terrer Casas,2024-25,Real Zaragoza,Víctor Fernández,Centrocampista,20.0,sub23_wyscout,18.0,0.0,0.0,0.0,,85.38
Adrian Martin,7,D. Díaz,2025-26,Racing Santander,,Centrocampista,21.0,sub23_wyscout,38.0,0.0,0.03,0.0,,84.62
Adrian Martin,8,I. Alani,2025-26,Real Valladolid CF,Diego Cocca,Centrocampista,19.0,sub23_wyscout,446.0,0.0,0.09,0.0,,84.3
Adrian Martin,9,S. Martínez,2025-26,Racing Santander,,Centrocampista,19.0,sub23_wyscout,451.0,0.0,0.21,0.0,,84.22
Adrian Martin,10,P. Mbemba,2025-26,Sporting Gijón,,Centrocampista,21.0,sub23_wyscout,79.0,0.0,0.08,0.0,,84.14
V. Răfăilă,1,Rubén Gómez,2023-24,Villarreal CF B,,Portero,21.0,sub23_wyscout,97.0,0.0,0.0,0.0,,94.56
V. Răfăilă,2,Carlos López,2024-25,Málaga CF,,Portero,21.0,sub23_wyscout,97.0,0.0,0.0,0.0,,94.56
V. Răfăilă,3,L. Gómez,2025-26,Racing Santander,,Portero,19.0,sub23_wyscout,104.0,0.0,0.0,0.0,,86.16
V. Răfăilă,4,Antal Yaakobishvili,2025-26,FC Andorra,,Portero,21.0,cesion,2053.0,0.0,0.0,0.0,,85.23
V. Răfăilă,5,S. Eriksson,2025-26,Racing Santander,,Portero,20.0,sub23_wyscout,613.0,0.0,0.0,0.0,,81.89
