jugador,ranking_destino_v2,club,entrenador,posicion,score_destino_v2,score_v2_cesion,score_v2_traspaso,desarrollo,demanda,uso_jovenes_coach,revalorizacion_media
Pablo Garcia,1,Cádiz CF,Pako Ayestarán,Extremo,69.5,41.3,45.3,100.0,79.7,100.0,-
Pablo Garcia,2,Sporting Gijón,David Gallego,Extremo,61.2,35.4,39.1,99.4,82.3,39.8,-
Pablo Garcia,3,Deportivo de La Coruña,Óscar Gilsanz,Extremo,61.0,38.2,41.8,95.6,64.3,70.5,-
Pablo Garcia,4,FC Andorra,Ferran Costa,Extremo,56.2,34.7,38.3,83.8,93.8,8.7,-
Pablo Garcia,5,CD Mirandés,Míchel Alonso,Extremo,52.5,35.9,38.5,58.2,97.2,23.6,-
I. Amores,1,Cádiz CF,Pako Ayestarán,Extremo,68.7,39.5,43.5,100.0,79.7,100.0,-
I. Amores,2,Sporting Gijón,David Gallego,Extremo,60.0,32.6,36.6,99.4,82.3,39.8,-
I. Amores,3,Deportivo de La Coruña,Óscar Gilsanz,Extremo,59.9,35.8,39.8,95.6,64.3,70.5,-
I. Amores,4,FC Andorra,Ferran Costa,Extremo,54.8,31.6,35.4,83.8,93.8,8.7,-
I. Amores,5,CD Mirandés,Míchel Alonso,Extremo,51.2,33.0,35.9,58.2,97.2,23.6,-
M. Hamdoune,1,CD Leganés,Borja Jiménez,Central,61.0,36.0,39.0,100.0,78.2,41.4,-
M. Hamdoune,2,Cádiz CF,Pako Ayestarán,Central,58.8,39.2,42.5,63.7,76.3,100.0,-
M. Hamdoune,3,Sporting Gijón,Rubén Albés,Central,55.6,36.5,40.2,56.0,92.7,66.1,-
M. Hamdoune,4,Real Valladolid CF,Diego Cocca,Central,54.3,34.9,38.3,69.0,78.3,57.2,-
M. Hamdoune,5,CD Mirandés,Míchel Alonso,Central,53.1,39.4,42.7,54.1,97.2,23.6,-
Adrian Martin,1,Sporting Gijón,Rubén Albés,Mediocentro,65.0,35.5,39.3,95.6,92.6,66.1,€500k
