temporada,club,jugador,tipo_operacion,club_destino
2025-26,AD Ceuta FC,Andy Escudero,libre,Hércules CF
2025-26,AD Ceuta FC,Bless Aniekan,cesión,Xerez CD
2025-26,AD Ceuta FC,Borja López,libre,AC Bellinzona
2025-26,AD Ceuta FC,Dani Aquino,libre,UCAM Murcia CF
2025-26,AD Ceuta FC,Efe Aghama,traspaso,Cádiz CF
2025-26,AD Ceuta FC,Fran Delgado,retorno de cesión,SC Farense
2025-26,AD Ceuta FC,Iomar Vidal,cesión,Antequera CF
2025-26,AD Ceuta FC,Jacobo Guzmán,libre,CD Coria
2025-26,AD Ceuta FC,Jota López,libre,Unionistas CF
2025-26,AD Ceuta FC,Juanto Ortuño,libre,Real Murcia CF
2025-26,AD Ceuta FC,Manu Vallejo,desconocido,Without Club
2025-26,AD Ceuta FC,Martín Bellotti,retorno de cesión,CF Intercity
2025-26,AD Ceuta FC,Rodri Ríos,libre,Marbella FC
2025-26,AD Ceuta FC,Samuel Obeng,libre,Albacete Balompié
2025-26,AD Ceuta FC,Sofiane El Ftouhi,desconocido,UD Ibiza
2025-26,AD Ceuta FC,Taufek Bayoud,libre,UD Almería B
2025-26,AD Ceuta FC,Victor Corral,cesión,Mérida AD
2025-26,Albacete Balompié,Antonio David,cesión,Real Murcia CF
2025-26,Albacete Balompié,Christian Kofane,traspaso,Bayer 04 Leverkusen
2025-26,Albacete Balompié,Cristian Rivero,retorno de cesión,Valencia CF
2025-26,Albacete Balompié,Dani Escriche,libre,Apollon Limassol
2025-26,Albacete Balompié,Fidel,libre,CD Eldense
2025-26,Albacete Balompié,Jaume Costa,desconocido,Retired
2025-26,Albacete Balompié,Javi Martón,retorno de cesión,Athletic Bilbao
2025-26,Albacete Balompié,Javi Rueda,retorno de cesión,Celta de Vigo
2025-26,Albacete Balompié,Jon García,libre,Real Murcia CF
2025-26,Albacete Balompié,Jon Morcillo,traspaso,UD Almería
2025-26,Albacete Balompié,Jovanny Bolívar,cesión,Internacional de Bogotá
2025-26,Albacete Balompié,Juan María Alcedo,libre,Córdoba CF
2025-26,Albacete Balompié,Juanma García,libre,Algeciras CF
2025-26,Albacete Balompié,Lalo Aguilar,retorno de cesión,CD Leganés
2025-26,Albacete Balompié,Nabil Touaizi,libre,FC Alverca
2025-26,Albacete Balompié,Pablo Sáenz,retorno de cesión,Granada CF
2025-26,Albacete Balompié,Rai Marchán,libre,AD Alcorcón
2025-26,Albacete Balompié,Riki Rodríguez,traspaso,Deportivo de La Coruña
2025-26,Albacete Balompié,Álvaro Rodríguez,libre,SD Eibar
2025-26,Burgos CF,Aitor Córdoba,traspaso,Tianjin Jinmen Tiger
2025-26,Burgos CF,Ander Martín,libre,FC Cartagena
2025-26,Burgos CF,Anderson Arroyo,traspaso,Rubin Kazan
2025-26,Burgos CF,Borja Sánchez,retorno de cesión,Real Oviedo
2025-26,Burgos CF,Dani Ojeda,libre,SD Huesca
2025-26,Burgos CF,Edu Espiau,libre,Arka Gdynia
2025-26,Burgos CF,Elady Zorrilla,libre,Atlético Mancha Real
2025-26,Burgos CF,Fernando Mimbacas,desconocido,CA Juventud
2025-26,Burgos CF,Gabriel Barès,libre,KAS Eupen
2025-26,Burgos CF,Ghislain Konan,libre,Gil Vicente FC
2025-26,Burgos CF,Iván Chapela,desconocido,CD Tenerife
2025-26,Burgos CF,Nikola Milicic,libre,FK Radnicki 1923 Kragujevac
2025-26,Burgos CF,Pipa,retorno de cesión,Ludogorets Razgrad
2025-26,Burgos CF,Raúl Navarro,desconocido,Without Club
2025-26,Burgos CF,Rubén Quintanilla,retorno de cesión,UD Almería
2025-26,Burgos CF,Tomeu Nadal,desconocido,Retired
2025-26,Burgos CF,Álex Sancris,libre,Getafe CF
2025-26,CD Castellón,Albert Lottin,cesión,UD Leiria
2025-26,CD Castellón,Daijiro Chirino,traspaso,UD Almería
2025-26,CD Castellón,David Flakus Bosilj,traspaso,Real Murcia CF
2025-26,CD Castellón,Giovanni Zarfino,libre,CD Extremadura 1924
2025-26,CD Castellón,Gonzalo Crettaz,libre,NEC Nijmegen
2025-26,CD Castellón,Jesús de Miguel,traspaso,CD Tenerife
2025-26,CD Castellón,Jetro Willems,libre,NEC Nijmegen
2025-26,CD Castellón,Josep Calavera,libre,CD Tenerife
2025-26,CD Castellón,Jozhua Vertrouwd,cesión,Rayo Vallecano
2025-26,CD Castellón,Juan Escobar,libre,CD Godoy Cruz Antonio Tomba
2025-26,CD Castellón,Kenneth Mamah,traspaso,Van Spor FK
2025-26,CD Castellón,Mamadou Traoré,cesión,CD Teruel
2025-26,CD Castellón,Milos Jojic,libre,FK Borac Banja Luka
2025-26,CD Castellón,Nick Markanich,cesión,Houston Dynamo FC
2025-26,CD Castellón,Raúl Sánchez,traspaso,Club Necaxa
2025-26,CD Castellón,Sergio Moyita,libre,Real Murcia CF
2025-26,CD Castellón,Serpeta,cesión,Unionistas CF
2025-26,CD Castellón,Thomas van den Belt,retorno de cesión,Feyenoord Rotterdam
2025-26,CD Castellón,Óscar Gil,libre,Real Murcia CF
2025-26,CD Leganés,Adrià Altimira,retorno de cesión,Villarreal CF
2025-26,CD Leganés,Benjamin Pauwels,cesión,FC Volendam
2025-26,CD Leganés,Borna Barisic,retorno de cesión,Trabzonspor
2025-26,CD Leganés,Dani Raba,libre,Valencia CF
2025-26,CD Leganés,Darko Brasanac,desconocido,Without Club
2025-26,CD Leganés,Javi Hernández,cesión,Panathinaikos
2025-26,CD Leganés,Julián Chicco,libre,Asteras Aktor
2025-26,CD Leganés,Marko Dmitrovic,libre,RCD Espanyol Barcelona
2025-26,CD Leganés,Matija Nastasić,libre,Al-Ula FC
2025-26,CD Leganés,Miguel de la Fuente,cesión,UD Almería
2025-26,CD Leganés,Munir El Haddadi,desconocido,Without Club
2025-26,CD Leganés,Renato Tapia,libre,Al-Wasl SC
2025-26,CD Leganés,Sergio González,libre,Al-Riyadh SC
2025-26,CD Leganés,Valentin Rosier,libre,CA Osasuna
2025-26,CD Leganés,Yan Diomande,traspaso,RB Leipzig
2025-26,CD Leganés,Yvan Neyou,libre,Getafe CF
2025-26,CD Leganés,Óscar Rodríguez,libre,Al-Diraiyah FC
2025-26,CD Mirandés,Adrián Butzke,retorno de cesión,Vitória Guimarães SC
2025-26,CD Mirandés,Alberto Dadie,retorno de cesión,Real Sociedad B
2025-26,CD Mirandés,Alberto Reina,libre,Real Oviedo
2025-26,CD Mirandés,Ander Martín,retorno de cesión,Burgos CF
2025-26,CD Mirandés,Carlo García,retorno de cesión,Villarreal CF B
2025-26,CD Mirandés,Etienne Eto'o,retorno de cesión,Rayo Vallecano
2025-26,CD Mirandés,Gonzalo Petit,retorno de cesión,Real Betis Balompié
2025-26,CD Mirandés,Hugo Rincón,retorno de cesión,Athletic Bilbao
2025-26,CD Mirandés,Iker Benito,retorno de cesión,CA Osasuna
2025-26,CD Mirandés,Ismael Barea,retorno de cesión,Betis Deportivo Balompié
2025-26,CD Mirandés,Joaquín Panichelli,retorno de cesión,Deportivo Alavés
2025-26,CD Mirandés,Joel Roca,retorno de cesión,Girona FC
2025-26,CD Mirandés,Jon Gorrotxategi,retorno de cesión,Real Sociedad
2025-26,CD Mirandés,Julio Alonso,libre,SD Huesca
2025-26,CD Mirandés,Luis López,libre,SD Eibar
2025-26,CD Mirandés,Marino Illescas,libre,AD Ceuta FC
2025-26,CD Mirandés,Mathis Lachuer,libre,Real Valladolid CF
2025-26,CD Mirandés,Pablo Tomeo,libre,Real Valladolid CF
2025-26,CD Mirandés,Raúl Fernández,libre,Deportivo Alavés
2025-26,CD Mirandés,Tachi,libre,Real Zaragoza
2025-26,CD Mirandés,Unai Egiluz,retorno de cesión,Athletic Bilbao
2025-26,CD Mirandés,Urko Izeta,retorno de cesión,Athletic Bilbao
2025-26,CD Mirandés,Victor Parada,retorno de cesión,Deportivo Alavés
2025-26,CD Mirandés,Álex Calvo,retorno de cesión,FC Andorra
2025-26,CD Mirandés,Álex Cardero,retorno de cesión,Real Oviedo
2025-26,Cultural Leonesa,Adrián Ruiz,cesión,Marbella FC
2025-26,Cultural Leonesa,Agustín Pastoriza,libre,FC Aktobe
2025-26,Cultural Leonesa,Alejandro Fernández,libre,SD Tarazona
2025-26,Cultural Leonesa,Antón Escobar,libre,Racing Ferrol
2025-26,Cultural Leonesa,Carlos Calderón,libre,FC Cartagena
2025-26,Cultural Leonesa,Daniel Paraschiv,retorno de cesión,Real Oviedo
2025-26,Cultural Leonesa,Diego Barri,libre,CD Castellón
2025-26,Cultural Leonesa,Guzmán Ortega,cesión,Real Avilés Industrial
2025-26,Cultural Leonesa,Jordi Mboula,traspaso,Henan FC
2025-26,Cultural Leonesa,Juan Artola,libre,Mérida AD
2025-26,Cultural Leonesa,Juan Larios,retorno de cesión,Southampton FC
2025-26,Cultural Leonesa,Kevin Presa,libre,CD Lugo
2025-26,Cultural Leonesa,Lanchi,libre,AD Alcorcón
2025-26,Cultural Leonesa,Luis Chacón,retorno de cesión,Deportivo de La Coruña
