club,jugadores_sub23_utilizados,minutos_sub23,partidos_sub23,titularidades_sub23,goles_sub23,xg_sub23,valor_mercado_medio_sub23,revalorizacion_media_sub23,temporadas_analizadas,edad_media_sub23,minutos_sub23_delanteros,minutos_sub23_extremos,minutos_sub23_mediocentros,minutos_sub23_centrales,minutos_sub23_laterales,minutos_sub23_porteros
CD Mirandés,23,32942.0,517.0,,28.0,36.9,495312.5,,4,20.9,3362.0,3997.0,13632.0,6303.0,5648.0,0.0
Racing Santander,19,32268.0,450.0,,37.0,40.14,985416.67,1500000.0,4,21.08,3037.0,42.0,13932.0,5649.0,8891.0,717.0
Cádiz CF,18,31056.0,433.0,,29.0,33.05,437500.0,,3,21.22,5071.0,6199.0,4557.0,5706.0,5952.0,3571.0
Sporting Gijón,17,29556.0,501.0,,30.0,28.59,694736.84,166666.67,5,21.48,1107.0,7021.0,10680.0,4918.0,5830.0,0.0
Granada CF,14,27211.0,415.0,,44.0,36.28,504166.67,350000.0,4,21.5,9496.0,1892.0,4444.0,4150.0,5806.0,1423.0
FC Andorra,14,25927.0,426.0,,34.0,33.43,381250.0,,4,20.95,2600.0,6013.0,7481.0,4959.0,768.0,4106.0
Deportivo de La Coruña,7,25320.0,326.0,,47.0,50.32,4020000.0,,3,21.75,3258.0,6125.0,10010.0,5927.0,0.0,0.0
CD Leganés,10,24980.0,372.0,,35.0,38.86,705769.23,37500.0,5,22.17,5456.0,3563.0,1670.0,11583.0,2708.0,0.0
Málaga CF,11,22860.0,384.0,,61.0,52.5,400000.0,0.0,4,21.24,10966.0,4258.0,7438.0,101.0,0.0,97.0
Real Valladolid CF,20,22067.0,317.0,,18.0,24.22,1162500.0,,4,21.04,2905.0,3556.0,3181.0,6995.0,2854.0,2576.0
Cultural Leonesa,11,20330.0,280.0,,10.0,13.02,307142.86,,4,21.19,0.0,1706.0,5252.0,10123.0,3249.0,0.0
Girona FC,8,20203.0,251.0,,15.0,18.96,6208333.33,,4,22.1,2033.0,0.0,1399.0,8936.0,7835.0,0.0
Burgos CF,10,18932.0,304.0,,28.0,26.39,561111.11,,4,22.08,3451.0,4713.0,6776.0,290.0,3702.0,0.0
Real Sociedad B,10,18458.0,272.0,,34.0,33.8,3300000.0,,2,19.6,5574.0,2809.0,4996.0,901.0,4178.0,0.0
Córdoba CF,11,15724.0,246.0,,13.0,17.25,500000.0,400000.0,4,21.23,0.0,1549.0,5807.0,2782.0,2257.0,3329.0
Albacete Balompié,11,14976.0,254.0,,8.0,13.88,656250.0,,4,21.0,1065.0,1165.0,3833.0,15.0,8898.0,0.0
SD Eibar,8,13865.0,234.0,,9.0,11.42,766666.67,-500000.0,5,22.2,0.0,0.0,9206.0,0.0,4659.0,0.0
Levante UD,7,13663.0,199.0,,20.0,19.43,960000.0,,4,20.5,1744.0,5701.0,176.0,0.0,27.0,6015.0
UD Almería,6,13647.0,249.0,,22.0,18.77,1833333.33,,5,21.8,901.0,0.0,8681.0,0.0,4065.0,0.0
RCD Espanyol Barcelona,7,11220.0,166.0,,5.0,8.75,1216666.67,0.0,2,22.43,1491.0,2340.0,1733.0,0.0,5656.0,0.0
SD Huesca,12,11168.0,220.0,,16.0,15.72,277777.78,,5,21.61,1795.0,2152.0,3283.0,2668.0,860.0,410.0
Real Zaragoza,14,11140.0,196.0,,2.0,9.44,610000.0,250000.0,4,20.71,204.0,2223.0,1245.0,3034.0,4384.0,50.0
UD Las Palmas,9,10208.0,186.0,,12.0,10.16,587500.0,,3,21.45,712.0,3132.0,3981.0,665.0,1718.0,0.0
Villarreal CF B,8,9415.0,153.0,,5.0,13.88,,,5,21.22,311.0,5529.0,0.0,3478.0,0.0,97.0
Deportivo Alavés,8,6953.0,110.0,,8.0,7.64,3400000.0,,4,21.5,997.0,822.0,1525.0,2433.0,1176.0,0.0
CD Castellón,6,6529.0,99.0,,3.0,6.1,166666.67,,1,22.0,0.0,254.0,2878.0,0.0,3397.0,0.0
Elche CF,5,6436.0,106.0,,9.0,10.45,1550000.0,,3,20.5,397.0,4751.0,1181.0,0.0,107.0,0.0
Real Oviedo,1,5463.0,83.0,,5.0,8.16,2000000.0,,2,23.0,0.0,2721.0,2742.0,0.0,0.0,0.0
AD Ceuta FC,2,3297.0,41.0,,13.0,11.39,700000.0,,1,20.5,3297.0,0.0,0.0,0.0,0.0,0.0
CD Eldense,1,2478.0,38.0,,1.0,4.1,250000.0,,1,23.0,2478.0,0.0,0.0,0.0,0.0,0.0
CD Tenerife,8,2121.0,57.0,,1.0,2.75,,,4,21.42,72.0,1114.0,69.0,73.0,793.0,0.0
UD Ibiza,3,952.0,20.0,,1.0,0.1,,,2,22.67,15.0,0.0,8.0,0.0,929.0,0.0
FC Cartagena,5,497.0,18.0,,1.0,0.88,50000.0,,4,20.29,180.0,142.0,16.0,59.0,0.0,100.0
CD Lugo,1,147.0,2.0,,0.0,0.01,,,1,21.0,0.0,0.0,0.0,0.0,147.0,0.0
SD Ponferradina,3,46.0,4.0,,0.0,0.02,,,3,20.67,0.0,27.0,19.0,0.0,0.0,0.0
AD Alcorcón,2,45.0,3.0,,0.0,0.0,,,2,21.0,0.0,0.0,45.0,0.0,0.0,0.0
