club,posicion,jugadores_sub23,minutos_sub23,partidos_sub23,titularidades_sub23,goles_sub23,xg_sub23,valor_medio,revalorizacion_media,entrenador_principal,temporadas_analizadas,pct_minutos_sub23_club
CD Leganés,Central,4,11583.0,132.0,,0.0,4.77,400000.0,,Borja Jiménez,2,46.37
Cultural Leonesa,Central,4,10123.0,114.0,,4.0,5.97,466666.67,,,2,49.79
Girona FC,Central,2,8936.0,94.0,,4.0,4.42,4000000.0,,Michel,3,44.23
Real Valladolid CF,Central,3,6995.0,78.0,,1.0,2.13,125000.0,,Diego Cocca,2,31.7
CD Mirandés,Central,3,6303.0,78.0,,1.0,1.66,400000.0,,Míchel Alonso,3,19.13
Deportivo de La Coruña,Central,3,5927.0,70.0,,3.0,3.12,150000.0,,Óscar Gilsanz,2,23.41
Cádiz CF,Central,3,5706.0,63.0,,1.0,2.72,275000.0,,Pako Ayestarán,2,18.37
Racing Santander,Central,4,5649.0,67.0,,4.0,8.28,1300000.0,,,2,17.51
FC Andorra,Central,2,4959.0,57.0,,2.0,2.44,150000.0,,,1,19.13
Sporting Gijón,Central,4,4918.0,59.0,,1.0,1.31,450000.0,,Rubén Albés,3,16.64
Granada CF,Central,3,4150.0,53.0,,3.0,1.76,375000.0,,Fran Escribá,1,15.25
Villarreal CF B,Central,2,3478.0,41.0,,2.0,2.63,,,,1,36.94
Real Zaragoza,Central,3,3034.0,46.0,,1.0,0.96,,,,1,27.24
Córdoba CF,Central,1,2782.0,35.0,,0.0,2.27,200000.0,,Iván Ania,1,17.69
SD Huesca,Central,2,2668.0,36.0,,3.0,1.72,175000.0,,Antonio Hidalgo,2,23.89
Deportivo Alavés,Central,1,2433.0,38.0,,0.0,1.55,200000.0,,,1,34.99
Real Sociedad B,Central,1,901.0,15.0,,0.0,0.37,,,,1,4.88
UD Las Palmas,Central,1,665.0,19.0,,0.0,0.15,,,,1,6.51
Burgos CF,Central,1,290.0,9.0,,0.0,0.0,250000.0,,,1,1.53
Málaga CF,Central,1,101.0,1.0,,0.0,0.0,,,Pellicer,1,0.44
CD Tenerife,Central,1,73.0,3.0,,0.0,0.0,,,,1,3.44
FC Cartagena,Central,1,59.0,3.0,,0.0,0.0,,,,1,11.87
Albacete Balompié,Central,1,15.0,1.0,,0.0,0.0,,,,1,0.1
Málaga CF,Delantero,6,10966.0,200.0,,47.0,40.65,800000.0,,,2,47.97
Granada CF,Delantero,3,9496.0,159.0,,26.0,27.5,700000.0,,Fran Escribá,3,34.9
Real Sociedad B,Delantero,3,5574.0,81.0,,26.0,23.86,900000.0,,,2,30.2
CD Leganés,Delantero,2,5456.0,77.0,,25.0,25.33,2250000.0,0.0,Borja Jiménez,1,21.84
Cádiz CF,Delantero,3,5071.0,83.0,,8.0,14.52,,,Pako Ayestarán,2,16.33
Burgos CF,Delantero,2,3451.0,60.0,,10.0,9.83,1100000.0,,Julián Calero,2,18.23
CD Mirandés,Delantero,5,3362.0,67.0,,10.0,10.73,608333.33,,Míchel Alonso,2,10.21
AD Ceuta FC,Delantero,2,3297.0,41.0,,13.0,11.39,700000.0,,,1,100.0
Deportivo de La Coruña,Delantero,1,3258.0,38.0,,11.0,13.44,,,Óscar Gilsanz,1,12.87
Racing Santander,Delantero,3,3037.0,46.0,,15.0,13.06,262500.0,1500000.0,,2,9.41
Real Valladolid CF,Delantero,7,2905.0,47.0,,9.0,9.19,1100000.0,,Diego Cocca,3,13.16
FC Andorra,Delantero,1,2600.0,40.0,,6.0,6.51,,,,1,10.03
CD Eldense,Delantero,1,2478.0,38.0,,1.0,4.1,250000.0,,,1,100.0
Girona FC,Delantero,1,2033.0,42.0,,6.0,6.63,,,,1,10.06
SD Huesca,Delantero,2,1795.0,37.0,,5.0,4.98,150000.0,,Antonio Hidalgo,3,16.07
Levante UD,Delantero,2,1744.0,58.0,,8.0,10.74,800000.0,,Julián Calero,2,12.76
RCD Espanyol Barcelona,Delantero,1,1491.0,32.0,,2.0,3.53,600000.0,,,1,13.29
Sporting Gijón,Delantero,1,1107.0,38.0,,4.0,4.58,,,David Gallego,2,3.75
Albacete Balompié,Delantero,2,1065.0,18.0,,4.0,4.09,300000.0,,,1,7.11
Deportivo Alavés,Delantero,1,997.0,17.0,,6.0,3.81,,,,1,14.34
UD Almería,Delantero,1,901.0,24.0,,3.0,2.19,2000000.0,,,1,6.6
UD Las Palmas,Delantero,3,712.0,25.0,,0.0,1.28,375000.0,,García Pimienta,2,6.97
Elche CF,Delantero,2,397.0,12.0,,2.0,0.83,,,Sebastián Beccacece,2,6.17
Villarreal CF B,Delantero,3,311.0,16.0,,0.0,1.88,,,,3,3.3
Real Zaragoza,Delantero,1,204.0,10.0,,0.0,0.76,,,Lluís Carreras,2,1.83
FC Cartagena,Delantero,2,180.0,6.0,,0.0,0.67,,,,2,36.22
CD Tenerife,Delantero,2,72.0,3.0,,0.0,0.0,,,Óscar Cano,1,3.39
UD Ibiza,Delantero,1,15.0,1.0,,0.0,0.0,,,,1,1.58
Sporting Gijón,Extremo,3,7021.0,133.0,,16.0,12.85,1225000.0,0.0,David Gallego,3,23.75
Cádiz CF,Extremo,5,6199.0,113.0,,12.0,13.6,2000000.0,,Pako Ayestarán,2,19.96
Deportivo de La Coruña,Extremo,2,6125.0,73.0,,21.0,22.43,,,Óscar Gilsanz,1,24.19
FC Andorra,Extremo,4,6013.0,119.0,,17.0,15.31,500000.0,,Ferran Costa,3,23.19
Levante UD,Extremo,2,5701.0,72.0,,10.0,8.15,1200000.0,,Julián Calero,2,41.73
