nombre,temporada,club,entrenador,edad,posicion_normalizada,tipo_suceso,tipo_operacion,origen_desarrollo,partidos,minutos,goles,xg,goles_por_90,xg_por_90,valor_mercado,valor_llegada,valor_salida,revalorizacion_absoluta,revalorizacion_porcentual,revalorizacion_positiva,tiene_wyscout,club_pos_jugadores_sub23,club_pos_minutos_sub23,club_pos_goles_sub23,club_pos_xg_sub23,club_pos_pct_minutos,club_total_jugadores_sub23,club_total_minutos_sub23,club_total_goles_sub23,coach_total_jugadores_sub23,coach_total_minutos_sub23,coach_pos_minutos_sub23,demand_total_altas,demand_cesiones,demand_traspasos,demand_sub23,demand_recent,demand_score
Abdel Al Badaoui,2021-22,AD Alcorcón,Fran Fernández,25.0,Mediapunta,libre,libre,Extranjero,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,250000.0,200000.0,-50000.0,-20.0,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,6,1,0,3,1,42.21
Aitor González,2021-22,AD Alcorcón,Fran Fernández,20.0,Centrocampista,otro,otro,Cantera / Filial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,10,1,0,4,0,47.11
Antonio Moyano,2021-22,AD Alcorcón,Fran Fernández,21.0,Mediapunta,libre,libre,Cantera / Filial,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,300000.0,250000.0,500.0,1,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,6,1,0,3,1,42.21
Asier Córdoba,2021-22,AD Alcorcón,Fran Fernández,21.0,Mediapunta,libre,libre,Cantera / Filial,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,200000.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,6,1,0,3,1,42.21
Borja Valle,2021-22,AD Alcorcón,Fran Fernández,29.0,Delantero,libre,libre,Sin club anterior,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,9,3,0,5,0,52.22
Carlos Hernández,2021-22,AD Alcorcón,Fran Fernández,30.0,Central,libre,libre,Segunda Division,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,6,1,0,3,0,35.36
Cristian Rivero,2021-22,AD Alcorcón,Fran Fernández,23.0,Portero,cesion,cesion,Primera Division,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,3,1,0,1,0,21.24
David Forniés,2021-22,AD Alcorcón,Fran Fernández,30.0,Lateral,libre,libre,Segunda Division,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,4,1,0,0,0,21.75
Emmanuel Apeh,2021-22,AD Alcorcón,Fran Fernández,25.0,Delantero,cesion,cesion,Segunda Division,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,9,3,0,5,0,52.22
Giovanni Zarfino,2021-22,AD Alcorcón,Fran Fernández,30.0,Centrocampista,libre,libre,Otra categoria España,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,10,1,0,4,0,47.11
Iván Calero,2021-22,AD Alcorcón,Fran Fernández,26.0,Lateral,cesion,cesion,Segunda Division,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,4,1,0,0,0,21.75
Iván Cédric,2021-22,AD Alcorcón,Fran Fernández,19.0,Delantero,otro,otro,Cantera / Filial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,9,3,0,5,0,52.22
