jugador,temporada,club,entrenador,edad,posicion,tipo_operacion,tipo_suceso,minutos,goles,xg,valor_mercado,revalorizacion_porcentual,revalorizacion_absoluta,comp_desarrollo,comp_mercado,comp_rendimiento,comp_progresion,dimensiones_usadas,operation_success_score
Abdel Al Badaoui,2021-22,AD Alcorcón,Fran Fernández,25.0,Mediapunta,libre,libre,0.0,0.0,0.0,250000.0,-20.0,-50000.0,,0.15,,0.0,mercado+progresion,9.38
Antonio Moyano,2021-22,AD Alcorcón,Fran Fernández,21.0,Mediapunta,libre,libre,0.0,0.0,0.0,50000.0,500.0,250000.0,,1.0,,1.0,mercado+progresion,100.0
Asier Córdoba,2021-22,AD Alcorcón,Fran Fernández,21.0,Mediapunta,libre,libre,0.0,0.0,0.0,200000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
José Aurelio Suárez,2021-22,AD Alcorcón,Fran Fernández,25.0,Portero,libre,libre,0.0,0.0,0.0,200000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Juan Hernández,2021-22,AD Alcorcón,Fran Fernández,26.0,Extremo,libre,libre,0.0,0.0,0.0,400000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Raúl Asencio,2021-22,AD Alcorcón,Fran Fernández,23.0,Delantero,libre,libre,0.0,0.0,0.0,550000.0,-45.45,-250000.0,,0.022749999999999986,,0.0,mercado+progresion,1.42
Alfonso Herrero,2021-22,Burgos CF,Julián Calero,27.0,Portero,libre,libre,0.0,0.0,0.0,250000.0,100.0,250000.0,,0.75,,0.85,mercado+progresion,78.75
Andy Rodríguez,2021-22,Burgos CF,Julián Calero,31.0,Centrocampista,libre,libre,0.0,0.0,0.0,300000.0,-33.33,-100000.0,,0.08335000000000001,,0.0,mercado+progresion,5.21
Ernesto Gómez,2021-22,Burgos CF,Julián Calero,27.0,Extremo,libre,libre,0.0,0.0,0.0,300000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Filip Malbasic,2021-22,Burgos CF,Julián Calero,29.0,Extremo,libre,libre,0.0,0.0,0.0,900000.0,-55.56,-500000.0,,0.0,,0.0,mercado+progresion,0.0
Fran García,2021-22,Burgos CF,Julián Calero,28.0,Lateral,libre,libre,0.0,0.0,0.0,400000.0,25.0,100000.0,,0.375,,0.7,mercado+progresion,49.69
Grego Sierra,2021-22,Burgos CF,Julián Calero,28.0,Central,libre,libre,2215.0,3.0,1.21,400000.0,75.0,300000.0,0.8203703703703704,0.625,0.184,0.7749999999999999,desarrollo+mercado+progresion+rendimiento,63.74
José Antonio Caro,2021-22,Burgos CF,Julián Calero,27.0,Portero,cesion,cesion,0.0,0.0,0.0,500000.0,200.0,1000000.0,,1.0,,1.0,mercado+progresion,100.0
José Matos,2021-22,Burgos CF,Julián Calero,26.0,Lateral,libre,libre,0.0,0.0,0.0,700000.0,71.43,500000.0,,0.6071500000000001,,0.7642899999999999,mercado+progresion,66.61
Miguel Rubio,2021-22,Burgos CF,Julián Calero,23.0,Central,cesion,cesion,0.0,0.0,0.0,150000.0,100.0,150000.0,,0.75,,0.85,mercado+progresion,78.75
Pablo Valcarce,2021-22,Burgos CF,Julián Calero,28.0,Extremo,libre,libre,0.0,0.0,0.0,600000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Riki Rodríguez,2021-22,Burgos CF,Julián Calero,23.0,Centrocampista,cesion,cesion,0.0,0.0,0.0,300000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Álex Alegría,2021-22,Burgos CF,Julián Calero,28.0,Delantero,cesion,cesion,0.0,0.0,0.0,500000.0,-60.0,-300000.0,,0.0,,0.0,mercado+progresion,0.0
Borja Garcés,2021-22,CD Leganés,Asier Garitano,22.0,Delantero,cesion,cesion,0.0,0.0,0.0,2700000.0,-3.7,-100000.0,,0.23149999999999998,,0.0,mercado+progresion,14.47
Bruno González,2021-22,CD Leganés,Asier Garitano,31.0,Central,libre,libre,0.0,0.0,0.0,1000000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Cheick Doukouré,2021-22,CD Leganés,Asier Garitano,28.0,Centrocampista,libre,libre,0.0,0.0,0.0,600000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Fede Vico,2021-22,CD Leganés,Asier Garitano,27.0,Mediapunta,libre,libre,0.0,0.0,0.0,1200000.0,66.67,800000.0,,0.58335,,0.75001,mercado+progresion,64.58
Iván Villar,2021-22,CD Leganés,Asier Garitano,24.0,Portero,cesion,cesion,0.0,0.0,0.0,2500000.0,-52.0,-1300000.0,,0.0,,0.0,mercado+progresion,0.0
Jimmy Giraudon,2021-22,CD Leganés,Asier Garitano,30.0,Central,cesion,cesion,0.0,0.0,0.0,1500000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Jon Bautista,2021-22,CD Leganés,Asier Garitano,26.0,Delantero,cesion,cesion,0.0,0.0,0.0,1200000.0,-16.67,-200000.0,,0.16665,,0.0,mercado+progresion,10.42
Lazar Randjelovic,2021-22,CD Leganés,Asier Garitano,24.0,Extremo,cesion,cesion,0.0,0.0,0.0,2000000.0,25.0,500000.0,,0.375,,0.7,mercado+progresion,49.69
Naim García,2021-22,CD Leganés,Asier Garitano,19.0,Mediapunta,otro,sub23_wyscout,875.0,1.0,1.31,500000.0,,,0.32407407407407407,,0.224,,desarrollo+rendimiento,29.07
