jugador,spieler_id
Aarón Escandell,284430
Aarón Martin,1270449
Aarón Ochoa,1109577
Abdallahi Mahmoud,615636
Abde Rebbach,718034
Abdel Abqar,559979
Abdel Al Badaoui,357174
Abel Bretones,658115
Abou Kanté,315095
Aboubacar Bassinga,1210422
Abraham del Moral,635344
Adalberto Carrasquilla,375300
Adalberto Peñaranda,308801
Adam Arvelo,792376
Adam Boayar,1064506
Adam Jakobsen,503602
Aday Benítez,132921
Adnan Januzaj,177847
Adolfo Gaich,608469
Adri Castellano,253826
Adri Herrera,595555
Adri Suárez,941156
Adrià Altimira,466807
Adrià Pedrosa,501418
Adrián Arnu,1176519
Adrián Butzke,596884
Adrián Dalmau,288228
Adrián Dela,341263
Adrián Diéguez,355335
Adrián Embarba,288318
Adrián Fuentes,597083
Adrián González,44073
Adrián Guerrero,282724
Adrián Lapeña,289267
Adrián Liso,1061122
Adrián López,45383
Adrián Marín,295414
Adrián Niño,926849
Adrián Pica,895458
Adrián Pérez,497229
Adrián Rodríguez,608382
Adrián Ruiz,1157607
Adu Ares,895480
Ager Aketxe,158057
Agus Alonso,473359
Agus Medina,336051
Agustín Pastoriza,336103
Agustín Sienra,814966
Agustín Álvarez,812625
Aiham Ousou,585068
Aingeru Olabarrieta,1056971
Aitor Aranzabe,585854
Aitor Arregi,197538
Aitor Buñuel,374081
Aitor Córdoba,350197
Aitor Fernández,118997
Aitor García,214468
Aitor Gelardo,652329
Aitor González,716157
Aitor Pascual,401644
Aitor Uzkudun,634109
Akim Zedadka,327863
Alan Godoy,668277
Albert Lottin,540659
Albert Luque,719992
Alberto Dadie,711377
Alberto Jiménez,265289
Alberto Marí,634105
Alberto Moleiro,733576
Alberto Perea,99559
Alberto Quiles,351541
Alberto Reina,603696
Alberto Rodríguez,711550
Alberto Solís,284888
Alberto Soro,487688
Alberto Sánchez,551184
Alberto Toril,446519
Alberto Vaquero,971094
Alberto Varo,280254
Alberto Zapater,26153
Alberto de la Bella,73319
Alberto del Moral,635347
Aldair,588072
Aldair Fuentes,480523
Ale Díez,217143
Ale García,898737
Ale Gomes,1371198
Ale Meléndez,531413
Aleix Febas,217144
Aleix García,261504
Aleix Garrido,709966
Aleix Vidal,88490
Alejandro Arribas,137174
Alejandro Fernández,631378
Alejandro Francés,632896
Alejandro Gutiérrez,912611
Alejandro Gálvez,128488
Alejandro Ibarrondo,625066
Alejandro Marqués,525602
Alejandro Viedma,331503
Aleksa Puric,699233
Aleksandar Pantic,167093
Aleksandar Radovanovic,339501
Aleksandar Sedlar,237499
Alemão,560417
Alex Escardó,464899
Alex Rey,521421
Alexander González,147562
Alexandru Pașcanu,421258
Alfon González,357628
Alfonso Herrero,129478
Alfonso Martín,268675
Alfonso Pastor,537367
Alfred Caicedo,885179
Alfred N'Diaye,77737
Alfredo Ortuño,96540
Alfredo Pedraza,618806
Ali Houary,1064538
Allan Nyom,111508
Alonso Aceves,833268
Alpha Diounkou,554175
Amadou Coundoul,938669
Amadou Diawara,355501
Amath Ndiaye,339820
Amir Abedzadeh,218431
Ander Astralaga,709955
Ander Cantero,199325
Ander Capa,197545
Ander Madariaga,710657
Ander Martín,625658
Ander Yoldi,635581
Anderson Arroyo,426326
Anderson Cordeiro,686150
Andoni López,340206
Andoni Zubiaurre,428948
Andrei Rațiu,527966
Andreu Arasa,388514
Andrija Vukcevic,294987
André Ferreira,290346
André Horta,329722
Andrés Borge,632931
Andrés Campos,709377
Andrés Caro,858062
Andrés Cuenca,962111
Andrés Fernández,57522
Andrés Ferrari,973805
Andrés García,1063329
Andrés Martín,531277
Andrés Prieto,238032
Andy Escudero,396339
Andy Kawaya,203342
Andy Pelmard,494236
Andy Rodríguez,252686
Antal Yaakobishvili,923915
Anthony Landázuri,410696
Antonino La Gumina,287876
Antonio Blanco,495621
Antonio Caballero,364890
Antonio Candela,392881
Antonio Casas,537767
Antonio David,895332
Antonio Espigares,886047
Antonio Glauder,380365
Antonio Jesús,466803
Antonio Luna,126516
Antonio Moyano,507540
Antonio Pacheco,568156
Antonio Perera,483742
Antonio Puertas,262365
Antonio Valera,290275
Antoñito,62144
Antoñito Cordero,1178393
Antoñín,610336
Antxón Jaso,590891
Antón Escobar,645318
Anuar,327126
Aridai Cabrera,76032
Aridane Hernández,82503
Aritz Aldasoro,663258
Aritz Arambarri,434602
Armando Sadiku,140082
Armando Shashoua,514373
Armin Hodzic,570548
Arnau Comas,388542
Arnau Ortiz,802046
Arnau Prat,1123314
Arnau Puigmal,536030
Arnau Rafús,636686
Arnau Solà,636697
Arturo Molina,337781
Arvin Appiah,433257
Asier Benito,466847
Asier Córdoba,505512
Asier Riesgo,23338
Asier Villalibre,251897
Assane Ndiaye,963316
Augusto Batalla,275218
Aurélien Scheidler,497175
Awer Mabil,255729
Axel Bamba,545487
Axel Werner,236734
Ayman Arguigue,1137080
Aythami Artiles,44735
Baba Diocou,941567
Bakary N'Diaye,458401
Bambo Diaby,435493
Baïla Diallo,857482
Bebé,153427
Benito Ramírez,282672
Benjamin Pauwels,1104143
Bernabé Barragán,254036
Bernardo Vital,690273
Berto,531376
Berto Cayarga,510372
Berto Rosas,569757
Beñat Garro,610663
Beñat Gerenabarrena,709214
Beñat Leiza,783430
Beñat Prados,625047
Beñat Turrientes,634431
Bil Nsongo,1299392
Bilal Achhiba,1329432
Bless Aniekan,1125028
Bogdan Milovanov,392655
Bojan Kovacevic,845563
Bojan Letic,166985
Bolaño,48294
Borja Bastón,85324
Borja Domínguez,287193
Borja Garcés,566036
Borja García,67808
Borja González,356546
Borja Granero,129768
Borja Lasso,268949
Borja López,214770
Borja Sainz,634461
Borja Sánchez,217155
Borja Valle,176067
Borna Barisic,39125
Brahim Konaté,391257
Braian Cufré,401521
Brais Martínez,638138
Brandon Thomas,251680
Brian Cipenga,700565
Brian Oliván,166677
Brian Rodríguez,465818
Brian Schwake,747967
Bruno González,188838
Bruno Iribarne,747197
Bruno Langa,631472
Bruno Méndez,552912
Bruno Pirri,190705
Bruno Wilson,71830
Bryan Gil,537382
Bryan Zaragoza,713644
Capi,1101300
Carles Salvador,217730
Carlo García,627287
Carlos Bacca,119235
Carlos Calderón,324475
Carlos Carmona,71394
Carlos Clerc,193784
Carlos David,65342
Carlos Doncel,379530
Carlos Dotor,623524
Carlos Embalo,275682
Carlos Espí,1063338
Carlos Fernández,216464
Carlos García,628494
Carlos Guirao,1054429
Carlos Gutiérrez,274753
Carlos Hernández,225459
Carlos Isaac,396324
Carlos Izquierdoz,116968
Carlos Julio Martínez,166658
Carlos Martín,618813
Carlos Martínez,95022
Carlos Neva,448844
Carlos Nieto,340682
Carlos Pita,34566
Carlos Pomares,238872
Carlos Protesoni,431190
Carlos Pérez,625524
Carlos Romero,709372
Carlos Ruiz,72421
Carlos Vicente,540536
Carlos Vigaray,263627
Carlos Álvarez,668179
Caye Quintana,238471
Cedric Omoigui,336729
Cedric Teguia,536831
Cenk Özkacar,615350
Charlie Patiño,581674
Charly Musonda Jr.,177862
Cheick Doukouré,129679
Cheick Timite,424709
Chema Rodríguez,248330
Chico Geraldes,257456
Chiki,511030
Choco Lozano,131275
Chris Ramos,538810
