temporada,categoria,jugador,equipo,posicion_wyscout,posicion_primaria,posicion_normalizada,edad,pais_nacimiento,pasaporte,pie,altura,peso,valor_mercado,vencimiento_contrato,partidos_jugados,minutos_jugados,goles,xg,cesion,_match_key
2024-25,def,Raúl Fernández,Deportivo Alavés,GK,GK,Portero,37.0,Spain,Spain,derecho,195,92,200000,2026-06-30,46,4606,0,0.0,False,raul fernandez|deportivo alaves|2024-25
2023-24,def,Leo Román,Mallorca,GK,GK,Portero,25.0,Spain,Spain,derecho,189,78,1800000,2030-06-30,46,4560,0,0.0,False,leo roman|mallorca|2023-24
2024-25,def,Aarón Escandell,Real Oviedo,GK,GK,Portero,30.0,Spain,Spain,derecho,185,72,1000000,2027-06-30,45,4520,0,0.0,False,aaron escandell|real oviedo|2024-25
2022-23,def,Antonio Sivera,Deportivo Alavés,GK,GK,Portero,29.0,Spain,Spain,derecho,185,79,6000000,2027-06-30,45,4491,0,0.0,False,antonio sivera|deportivo alaves|2022-23
2024-25,def,Dani Calvo,Real Oviedo,LCB,LCB,Central,31.0,Spain,Spain,derecho,190,82,1500000,2027-06-30,45,4489,2,2.24,False,dani calvo|real oviedo|2024-25
2024-25,med,Jon Gorrotxategi,Real Sociedad B,"DMF, RCMF",DMF,Mediocentro,23.0,Spain,Spain,derecho,177,67,0,2030-06-30,46,4478,4,1.75,False,jon gorrotxategi|real sociedad b|2024-25
2021-22,def,Juan Soriano,CD Leganés,GK,GK,Portero,28.0,Spain,Spain,derecho,185,78,1500000,2027-06-30,45,4422,0,0.0,False,juan soriano|cd leganes|2021-22
2024-25,def,Jokin Ezkieta,Racing Santander,GK,GK,Portero,29.0,Spain,Spain,derecho,193,80,1600000,2027-06-30,44,4404,0,0.0,False,jokin ezkieta|racing santander|2024-25
2023-24,def,L. Zidane,Granada CF,GK,GK,Portero,27.0,France,"France, Spain",derecho,183,78,2000000,2027-06-30,44,4361,0,0.0,False,l zidane|granada cf|2023-24
2023-24,def,Jokin Ezkieta,Racing Santander,GK,GK,Portero,29.0,Spain,Spain,derecho,193,80,1600000,2027-06-30,42,4262,0,0.0,False,jokin ezkieta|racing santander|2023-24
2023-24,def,Dani Calvo,Real Oviedo,LCB,LCB,Central,32.0,Spain,Spain,derecho,190,82,1500000,2027-06-30,44,4256,2,1.88,False,dani calvo|real oviedo|2023-24
2024-25,att,J. Panichelli,Strasbourg,CF,CF,Delantero,23.0,Argentina,Argentina,derecho,187,82,0,2030-06-30,44,4216,21,19.55,False,j panichelli|strasbourg|2024-25
2023-24,def,Ander Cantero,Burgos CF,GK,GK,Portero,31.0,Spain,Spain,izquierdo,189,82,1000000,2027-06-30,42,4190,0,0.29,False,ander cantero|burgos cf|2023-24
2025-26,def,Alfonso Herrero,Málaga CF,GK,GK,Portero,32.0,Spain,Spain,derecho,183,83,400000,2028-06-30,42,4182,0,0.0,False,alfonso herrero|malaga cf|2025-26
2021-22,def,Juan Carlos,Girona FC,GK,GK,Portero,37.0,Spain,Spain,derecho,186,85,200000,2026-06-30,42,4176,0,0.0,False,juan carlos|girona fc|2021-22
2024-25,def,Ander Cantero,Burgos CF,GK,GK,Portero,31.0,Spain,Spain,izquierdo,189,82,1000000,2027-06-30,42,4163,0,0.0,False,ander cantero|burgos cf|2024-25
2025-26,def,Juan Soriano,CD Leganés,GK,GK,Portero,28.0,Spain,Spain,derecho,185,78,1500000,2027-06-30,42,4159,0,0.0,False,juan soriano|cd leganes|2025-26
2025-26,def,Ander Cantero,Burgos CF,GK,GK,Portero,31.0,Spain,Spain,izquierdo,189,82,1000000,2027-06-30,42,4145,0,0.0,False,ander cantero|burgos cf|2025-26
2025-26,def,Andrés Fernández,UD Almería,GK,GK,Portero,39.0,Spain,Spain,derecho,187,82,400000,2027-06-30,41,4128,0,0.0,False,andres fernandez|ud almeria|2025-26
2023-24,att,M. Braithwaite,Grêmio,CF,CF,Delantero,34.0,Denmark,"Denmark, Guyana",derecho,177,73,3200000,2027-12-31,43,4128,22,21.7,False,m braithwaite|gremio|2023-24
2025-26,def,Jon Mikel,SD Eibar,GK,GK,Portero,25.0,Spain,Spain,derecho,183,78,600000,2026-06-30,42,4127,0,0.16,False,jon mikel|sd eibar|2025-26
2022-23,def,Andrés Fernández,UD Almería,GK,GK,Portero,39.0,Spain,Spain,derecho,187,82,400000,2027-06-30,42,4124,0,0.0,False,andres fernandez|ud almeria|2022-23
2022-23,def,Juan Soriano,CD Leganés,GK,GK,Portero,28.0,Spain,Spain,derecho,185,78,1500000,2027-06-30,42,4116,0,0.0,False,juan soriano|cd leganes|2022-23
2023-24,def,José Antonio Caro,UD Las Palmas,GK,GK,Portero,31.0,Spain,Spain,derecho,184,83,1500000,2026-06-30,41,4108,0,0.0,False,jose antonio caro|ud las palmas|2023-24
2021-22,def,B. Espinosa,,"CB, LCB",CB,Central,36.0,Colombia,"Colombia, Spain",derecho,192,85,550000,,43,4102,3,3.54,False,b espinosa||2021-22
2021-22,def,Joan Femenías,Penafiel,GK,GK,Portero,29.0,Spain,Spain,derecho,189,79,600000,2026-06-30,42,4097,0,0.0,False,joan femenias|penafiel|2021-22
2024-25,def,Andrés Fernández,UD Almería,GK,GK,Portero,39.0,Spain,Spain,derecho,187,82,400000,2027-06-30,41,4084,0,0.0,False,andres fernandez|ud almeria|2024-25
2023-24,def,Álvaro Fernández,Deportivo de La Coruña,GK,GK,Portero,28.0,Spain,Spain,izquierdo,185,75,2500000,2027-06-30,42,4076,0,0.0,False,alvaro fernandez|deportivo de la coruna|2023-24
2024-25,def,Alfonso Herrero,Málaga CF,GK,GK,Portero,31.0,Spain,Spain,derecho,183,83,400000,2028-06-30,41,4061,0,0.0,False,alfonso herrero|malaga cf|2024-25
2023-24,def,Anaitz Arbilla,SD Eibar,LCB,LCB,Central,38.0,Spain,Spain,derecho,178,76,400000,2026-06-30,43,4053,1,0.92,False,anaitz arbilla|sd eibar|2023-24
2024-25,def,Pablo Vázquez,Sporting Gijón,RCB,RCB,Central,31.0,Spain,Spain,derecho,187,83,500000,2027-06-30,42,4052,2,2.19,False,pablo vazquez|sporting gijon|2024-25
2023-24,def,Sergio González,Al Riyadh,LCB,LCB,Central,33.0,Spain,Spain,derecho,189,70,1800000,,41,4049,6,2.53,False,sergio gonzalez|al riyadh|2023-24
2025-26,def,Édgar Badía,Cultural Leonesa,GK,GK,Portero,34.0,Spain,Spain,derecho,181,79,1400000,2026-06-30,41,4031,0,0.24,False,edgar badia|cultural leonesa|2025-26
2023-24,def,Viti Rozada,UD Las Palmas,"RB, RAMF",RB,Lateral,28.0,Spain,Spain,derecho,170,64,0,2027-06-30,45,4025,0,1.1,False,viti rozada|ud las palmas|2023-24
2024-25,def,Hugo Rincón,Girona FC,"RB, RWB",RB,Lateral,22.0,Spain,Spain,derecho,183,75,250000,2028-06-30,43,4025,3,2.87,True,hugo rincon|girona fc|2024-25
2021-22,def,Fernando Martínez,UD Almería,GK,GK,Portero,35.0,Spain,Spain,derecho,183,88,700000,2026-06-30,41,4021,0,0.0,False,fernando martinez|ud almeria|2021-22
2025-26,def,D. Horkaš,UD Las Palmas,GK,GK,Portero,27.0,Croatia,"Croatia, Bosnia and Herzegovina",derecho,189,77,1200000,2028-06-30,41,4013,0,0.0,False,d horkas|ud las palmas|2025-26
2023-24,def,Aitor Córdoba,Tianjin Tigers,RCB,RCB,Central,30.0,Spain,Spain,derecho,191,80,1200000,2027-12-31,41,4009,0,1.88,False,aitor cordoba|tianjin tigers|2023-24
2023-24,med,Enric Franquesa,CD Leganés,LB,LB,Lateral,29.0,Spain,Spain,izquierdo,174,71,0,2028-06-30,41,4009,2,1.82,False,enric franquesa|cd leganes|2023-24
2021-22,def,Andrés Fernández,UD Almería,GK,GK,Portero,39.0,Spain,Spain,derecho,187,82,400000,2027-06-30,41,4002,0,0.0,False,andres fernandez|ud almeria|2021-22
2024-25,def,Aitor Córdoba,Tianjin Tigers,"RCB, LCB",RCB,Central,30.0,Spain,Spain,derecho,191,80,1200000,2027-12-31,41,4001,1,0.9,False,aitor cordoba|tianjin tigers|2024-25
2023-24,med,Monchu,Juárez,LCMF,LCMF,Centrocampista,26.0,Spain,Spain,derecho,173,70,0,2029-06-30,42,3992,6,7.96,True,monchu|juarez|2023-24
