jugador,club,posicion,nacionalidad,edad_llegada,temporada_llegada,temporada_salida,vm_llegada,vm_salida,revalorizacion_abs,revalorizacion_pct,importe_compra,importe_venta
Aarón Escandell,FC Cartagena,Goalkeeper,Spain,26,2022-23,2023-24,1000000.0,1000000.0,0.0,0.0,,400000.0
Aarón Martin,CD Tenerife,Central Midfield,Spain,18,2024-25,2024-25,1000000.0,1000000.0,0.0,0.0,,1400000.0
Abdallahi Mahmoud,Deportivo Alavés,Attacking Midfield,Mauritania,22,2022-23,2022-23,600000.0,600000.0,0.0,0.0,,
Abde Rebbach,Granada CF,Left Winger,Algeria,26,2024-25,2025-26,700000.0,700000.0,0.0,0.0,,
Abdel Al Badaoui,AD Alcorcón,Attacking Midfield,Spain,25,2021-22,2021-22,250000.0,200000.0,-50000.0,-20.0,,
Abel Bretones,Real Oviedo,Left-Back,Spain,22,2022-23,2024-25,400000.0,1800000.0,1400000.0,350.0,,2800000.0
Abou Kanté,SD Huesca,Centre-Forward,The Gambia,27,2022-23,2023-24,500000.0,500000.0,0.0,0.0,,
Aboubacar Bassinga,CD Mirandés,Central Midfield,Burkina Faso,19,2024-25,2024-25,,100000.0,,,,
Aboubacar Bassinga,UD Las Palmas,Central Midfield,Burkina Faso,19,2025-26,2025-26,100000.0,100000.0,0.0,0.0,,
Adalberto Carrasquilla,FC Cartagena,Central Midfield,Panama,23,2022-23,2022-23,1000000.0,1000000.0,0.0,0.0,,1800000.0
Adalberto Peñaranda,UD Las Palmas,Left Winger,Venezuela,24,2021-22,2022-23,400000.0,800000.0,400000.0,100.0,,
Adam Arvelo,UD Las Palmas,Right Winger,Spain,20,2025-26,2025-26,,25000.0,,,,
Adolfo Gaich,SD Huesca,Centre-Forward,Argentina,22,2021-22,2022-23,8000000.0,3000000.0,-5000000.0,-62.5,600000.0,
Adri Herrera,CD Tenerife,Centre-Forward,Spain,22,2021-22,2021-22,50000.0,50000.0,0.0,0.0,,
Adrián Arnu,Real Valladolid CF,Centre-Forward,Spain,18,2025-26,2025-26,500000.0,500000.0,0.0,0.0,,
Adrián Butzke,CD Mirandés,Centre-Forward,Spain,25,2024-25,2025-26,300000.0,300000.0,0.0,0.0,,
Adrián Butzke,Granada CF,Centre-Forward,Spain,23,2022-23,2022-23,300000.0,300000.0,0.0,0.0,,
Adrián Embarba,UD Almería,Right Winger,Spain,33,2025-26,2024-25,1200000.0,1800000.0,600000.0,50.0,,
Adrián Fuentes,CD Castellón,Centre-Forward,Spain,27,2024-25,2024-25,200000.0,200000.0,0.0,0.0,,
Adrián Liso,Real Zaragoza,Left Winger,Spain,19,2024-25,2025-26,600000.0,2000000.0,1400000.0,233.33,,
Adrián López,Málaga CF,Centre-Forward,Spain,34,2021-22,2022-23,700000.0,400000.0,-300000.0,-42.86,,
Adrián Marín,Granada CF,Left-Back,Spain,25,2022-23,2022-23,1500000.0,1500000.0,0.0,0.0,,
Adrián Pérez,CD Eldense,Central Midfield,Spain,25,2023-24,2023-24,100000.0,100000.0,0.0,0.0,,
Adrián Ruiz,Cultural Leonesa,Central Midfield,Spain,21,2025-26,2025-26,,,,,,
Adu Ares,Real Zaragoza,Right Winger,Spain,22,2024-25,2025-26,2000000.0,1600000.0,-400000.0,-20.0,,
Ager Aketxe,Real Zaragoza,Right Winger,Spain,30,2024-25,2025-26,1800000.0,800000.0,-1000000.0,-55.56,,
Ager Aketxe,SD Eibar,Right Winger,Spain,27,2021-22,2024-25,800000.0,1800000.0,1000000.0,125.0,,
Agus Alonso,CD Leganés,Centre-Forward,Uruguay,26,2021-22,2021-22,300000.0,300000.0,0.0,0.0,,
Aitor Buñuel,CD Tenerife,Right-Back,Spain,24,2022-23,2024-25,700000.0,600000.0,-100000.0,-14.29,,
Aitor Gelardo,Villarreal CF B,Central Midfield,Spain,21,2023-24,2022-23,250000.0,200000.0,-50000.0,-20.0,,
Aitor González,AD Alcorcón,Central Midfield,Spain,20,2021-22,2021-22,,,,,,
Aitor Uzkudun,FC Andorra,Centre-Forward,Spain,24,2025-26,2025-26,200000.0,200000.0,0.0,0.0,,
Akim Zedadka,Real Zaragoza,Right-Back,Algeria,28,2023-24,2024-25,2000000.0,2000000.0,0.0,0.0,,
Alan Godoy,CD Eldense,Centre-Forward,Spain,21,2024-25,2024-25,250000.0,300000.0,50000.0,20.0,75000.0,150000.0
Alan Godoy,CD Mirandés,Centre-Forward,Spain,20,2023-24,2023-24,150000.0,200000.0,50000.0,33.33,,
Albert Luque,CD Eldense,Right Winger,Spain,21,2023-24,2024-25,100000.0,150000.0,50000.0,50.0,,
Alberto Dadie,CD Mirandés,Right-Back,Spain,22,2024-25,2025-26,250000.0,200000.0,-50000.0,-20.0,,
Alberto Jiménez,CD Tenerife,Centre-Back,Spain,29,2022-23,2022-23,200000.0,200000.0,0.0,0.0,,
Alberto Marí,Real Zaragoza,Centre-Forward,Spain,23,2024-25,2025-26,1500000.0,1000000.0,-500000.0,-33.33,,
Alberto Moleiro,UD Las Palmas,Left Winger,Spain,17,2021-22,2025-26,100000.0,25000000.0,24900000.0,24900.0,,16000000.0
Alberto Quiles,Albacete Balompié,Centre-Forward,Spain,28,2023-24,2024-25,600000.0,1200000.0,600000.0,100.0,,1000000.0
Alberto Reina,CD Mirandés,Central Midfield,Spain,25,2023-24,2025-26,300000.0,1500000.0,1200000.0,400.0,,
Alberto Solís,FC Andorra,Attacking Midfield,Spain,28,2025-26,2025-26,150000.0,200000.0,50000.0,33.33,,
Alberto Soro,Granada CF,Right Winger,Spain,25,2024-25,2024-25,700000.0,700000.0,0.0,0.0,,
Alberto Vaquero,Real Zaragoza,Central Midfield,Spain,20,2024-25,2025-26,150000.0,200000.0,50000.0,33.33,,
Alberto de la Bella,FC Cartagena,Left-Back,Spain,35,2021-22,2022-23,100000.0,100000.0,0.0,0.0,,
Alberto de la Bella,UD Las Palmas,Left-Back,Spain,35,2021-22,2021-22,100000.0,100000.0,0.0,0.0,,
Alberto del Moral,Córdoba CF,Central Midfield,Spain,24,2024-25,2025-26,800000.0,800000.0,0.0,0.0,,
Alberto del Moral,Real Oviedo,Central Midfield,Spain,23,2024-25,2024-25,800000.0,800000.0,0.0,0.0,,
Aldair,SD Ponferradina,Right-Back,Portugal,22,2022-23,2022-23,,200000.0,,,200000.0,
Ale García,UD Las Palmas,Right Winger,Spain,18,2021-22,2021-22,,300000.0,,,,
Aleix Febas,Málaga CF,Central Midfield,Spain,25,2021-22,2022-23,1000000.0,1000000.0,0.0,0.0,,
Alejandro Gálvez,UD Ibiza,Centre-Back,Spain,32,2021-22,2022-23,1300000.0,200000.0,-1100000.0,-84.62,,
Alejandro Ibarrondo,FC Andorra,Right Winger,Spain,24,2025-26,2025-26,200000.0,200000.0,0.0,0.0,,
Alejandro Marqués,CD Mirandés,Centre-Forward,Venezuela,21,2021-22,2022-23,500000.0,800000.0,300000.0,60.0,30000.0,
Alex Escardó,AD Alcorcón,Second Striker,Spain,23,2021-22,2021-22,150000.0,150000.0,0.0,0.0,,
Alex Rey,CD Lugo,Central Midfield,Spain,23,2021-22,2021-22,150000.0,150000.0,0.0,0.0,,
Alexandru Pașcanu,SD Ponferradina,Centre-Back,Romania,23,2021-22,2021-22,800000.0,800000.0,0.0,0.0,800000.0,
Alexandru Pașcanu,Sporting Gijón,Centre-Back,Romania,24,2023-24,2024-25,1000000.0,1000000.0,0.0,0.0,100000.0,
Alfon González,Racing Santander,Left Winger,Spain,23,2022-23,2022-23,300000.0,300000.0,0.0,0.0,,
Alfonso Herrero,Burgos CF,Goalkeeper,Spain,27,2021-22,2022-23,250000.0,500000.0,250000.0,100.0,,
Alfonso Herrero,CD Mirandés,Goalkeeper,Spain,28,2022-23,2023-24,500000.0,500000.0,0.0,0.0,,
Alfonso Martín,AD Alcorcón,Central Midfield,Spain,27,2021-22,2021-22,200000.0,200000.0,0.0,0.0,,
Alfredo Pedraza,SD Ponferradina,Centre-Back,Spain,21,2021-22,2022-23,200000.0,200000.0,0.0,0.0,,
Alonso Aceves,Real Oviedo,Left-Back,Mexico,21,2022-23,2022-23,1500000.0,1200000.0,-300000.0,-20.0,,
Alpha Diounkou,Granada CF,Right-Back,Senegal,20,2022-23,2024-25,300000.0,600000.0,300000.0,100.0,,
