temporada,club,jugador,movimiento,club_origen,club_destino,pais_club,fecha,importe_original,importe_numerico,tipo_operacion,valor_mercado,posicion,edad,nacionalidad
2021-22,AD Alcorcón,Abdel Al Badaoui,alta,RFC Seraing,AD Alcorcón,Belgium,-,free transfer,0.0,libre,€250k,Attacking Midfield,25,Spain
2021-22,AD Alcorcón,Aitor González,alta,AD Alcorcón B,AD Alcorcón,Spain,-,-,,desconocido,-,Central Midfield,20,Spain
2021-22,AD Alcorcón,Alex Escardó,alta,Cultural Leonesa,AD Alcorcón,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€150k,Second Striker,23,Spain
2021-22,AD Alcorcón,Alfonso Martín,alta,CD Atlético Baleares,AD Alcorcón,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€200k,Central Midfield,27,Spain
2021-22,AD Alcorcón,Antonio Moyano,alta,Córdoba CF B,AD Alcorcón,Spain,-,free transfer,0.0,libre,€50k,Attacking Midfield,21,Spain
2021-22,AD Alcorcón,Armin Hodzic,alta,Estoril Praia U23,AD Alcorcón,Portugal,30/06/2021,End of loan,0.0,retorno de cesión,€100k,Central Midfield,21,Bosnia-Herzegovina
2021-22,AD Alcorcón,Asier Córdoba,alta,CA Osasuna Promesas,AD Alcorcón,Spain,-,free transfer,0.0,libre,€200k,Attacking Midfield,21,Spain
2021-22,AD Alcorcón,Borja Valle,alta,-,AD Alcorcón,United Arab Emirates,-,free transfer,0.0,libre,€300k,Centre-Forward,29,Spain
2021-22,AD Alcorcón,Carlos Hernández,alta,Real Oviedo,AD Alcorcón,Spain,-,free transfer,0.0,libre,€300k,Centre-Back,30,Spain
2021-22,AD Alcorcón,Cristian Rivero,alta,Valencia CF,AD Alcorcón,Spain,-,loan transfer,0.0,cesión,€300k,Goalkeeper,23,Spain
2021-22,AD Alcorcón,David Forniés,alta,FC Cartagena,AD Alcorcón,Spain,-,free transfer,0.0,libre,€300k,Left-Back,30,Spain
2021-22,AD Alcorcón,Emmanuel Apeh,alta,CD Tenerife,AD Alcorcón,Spain,-,loan transfer,0.0,cesión,€400k,Centre-Forward,25,Nigeria
2021-22,AD Alcorcón,Giovanni Zarfino,alta,Extremadura UD,AD Alcorcón,Spain,-,free transfer,0.0,libre,€600k,Central Midfield,30,Uruguay
2021-22,AD Alcorcón,Iván Calero,alta,Málaga CF,AD Alcorcón,Spain,-,loan transfer,0.0,cesión,€300k,Right-Back,26,Spain
2021-22,AD Alcorcón,Iván Cédric,alta,AD Alcorcón B,AD Alcorcón,Spain,-,-,,desconocido,-,Centre-Forward,19,Cameroon
2021-22,AD Alcorcón,Joel Valencia,alta,Brentford FC,AD Alcorcón,England,-,loan transfer,0.0,cesión,€400k,Attacking Midfield,27,Ecuador
2021-22,AD Alcorcón,José Aurelio Suárez,alta,Gimnàstic de Tarragona,AD Alcorcón,Spain,-,free transfer,0.0,libre,€200k,Goalkeeper,25,Spain
2021-22,AD Alcorcón,José Ángel Jurado,alta,Al-Wahda FC,AD Alcorcón,United Arab Emirates,-,free transfer,0.0,libre,€450k,Central Midfield,29,Spain
2021-22,AD Alcorcón,Juan Hernández,alta,Celta de Vigo,AD Alcorcón,Spain,-,free transfer,0.0,libre,€400k,Left Winger,26,Spain
2021-22,AD Alcorcón,Lucho Vega,alta,GD Estoril Praia,AD Alcorcón,Portugal,-,loan transfer,0.0,cesión,-,Central Midfield,22,Argentina
2021-22,AD Alcorcón,Luis Valcarce,alta,Arka Gdynia,AD Alcorcón,Poland,-,free transfer,0.0,libre,€150k,Left-Back,28,Spain
2021-22,AD Alcorcón,Nicolas Gorosito,alta,Albacete Balompié,AD Alcorcón,Spain,-,free transfer,0.0,libre,€200k,Centre-Back,32,Argentina
2021-22,AD Alcorcón,Pipo,alta,Cultural Leonesa,AD Alcorcón,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€200k,Left Winger,23,Spain
2021-22,AD Alcorcón,Raúl Asencio,alta,-,AD Alcorcón,Italy,-,free transfer,0.0,libre,€550k,Centre-Forward,23,Spain
2021-22,AD Alcorcón,Roberto Olabe,alta,SD Eibar,AD Alcorcón,Spain,-,free transfer,0.0,libre,€400k,Central Midfield,25,Spain
2021-22,AD Alcorcón,Álex Barbu,alta,AD Alcorcón B,AD Alcorcón,Spain,-,-,,desconocido,-,Centre-Back,20,Spain
